,feature_name,0,1
7,Fan4 speed,52697.625622700754,52697.625622700754
4,Fan1 speed,53341.77627271362,53341.77627271362
5,Fan2 speed,54003.07248274342,54003.07248274342
6,Fan3 speed,62036.03542479546,62036.03542479546
2,Inlet Temp,108602.90100963562,108602.90100963562
0,CPU1 Temp,124144.5957388474,124144.5957388474
1,CPU2 Temp,155438.43733669847,155438.43733669847
8,Power consumption,173081.92880037488,173081.92880037488
3,Memory usage,285076.44780306506,285076.44780306506
