year,place,indiaClass
1972,Delhi,india
1986,Delhi,india
2015,Delhi,india
2012,Delhi,india
1963,Delhi,india
1985,Delhi,india
1972,Delhi,india
1976,Delhi,india
2011,Delhi,india
1986,Delhi,india
1987,Delhi,india
1985,Delhi,india
1971,Delhi,india
1971,Delhi,india
1974,Delhi,india
1969,Delhi,india
1975,Delhi,india
1983,Delhi,india
2011,Delhi,india
1966,Delhi,india
1972,Delhi,india
1972,Delhi,india
1985,Delhi,india
1974,Delhi,india
1982,Delhi,india
2012,Delhi,india
2000,Delhi,india
2007,Delhi,india
1986,Delhi,india
1989,Delhi,india
1986,Delhi,india
2014,Delhi,india
2016,Delhi,india
2017,Delhi,india
1992,Delhi,india
2009,Delhi,india
1986,Delhi,india
2006,Delhi,india
2013,Delhi,india
1967,Delhi,india
2009,Delhi,india
2004,Delhi,india
1969,Delhi,india
2005,Delhi,india
1986,Delhi,india
1989,Delhi,india
2013,Delhi,india
2001,Delhi,india
1990,Delhi,india
2014,Delhi,india
2015,Delhi,india
2016,Delhi,india
2017,Delhi,india
1992,Delhi,india
1988,Delhi,india
2003,Delhi,india
1960,Delhi,india
2011,Delhi,india
2008,Delhi,india
1989,Delhi,india
1976,Delhi,india
1967,Delhi,india
1998,Delhi,india
2015,Delhi,india
2008,Delhi,india
2010,Delhi,india
1970,Delhi,india
2015,Delhi,india
1968,Delhi,india
1977,Delhi,india
1977,Delhi,india
2014,Delhi,india
2006,Delhi,india
2012,Delhi,india
1971,Delhi,india
1999,Delhi,india
2010,Delhi,india
1989,Delhi,india
2002,Delhi,india
1965,Delhi,india
2004,Delhi,india
1990,Delhi,india
1977,Delhi,india
2004,Delhi,india
2002,Delhi,india
1962,Delhi,india
1998,Delhi,india
2000,Delhi,india
1966,Delhi,india
2009,Delhi,india
2003,Delhi,india
1971,Delhi,india
2016,Delhi,india
2017,Delhi,india
1954,Delhi,india
1999,Delhi,india
1988,Delhi,india
2014,Delhi,india
1991,Delhi,india
2007,Delhi,india
2011,Delhi,india
1981,Delhi,india
1969,Delhi,india
1992,Delhi,india
1972,Delhi,india
1984,Delhi,india
2009,Delhi,india
2006,Delhi,india
1975,Delhi,india
2000,Delhi,india
1955,Delhi,india
2014,Delhi,india
2007,Delhi,india
2010,Delhi,india
1965,Delhi,india
2003,Delhi,india
2006,Delhi,india
2005,Delhi,india
2014,Delhi,india
1976,Delhi,india
2007,Delhi,india
1992,Delhi,india
1983,Delhi,india
2002,Delhi,india
1971,Delhi,india
2014,Delhi,india
2001,Delhi,india
1972,Delhi,india
2000,Delhi,india
1967,Delhi,india
1968,Delhi,india
2004,Delhi,india
1985,Delhi,india
2008,Delhi,india
2011,Delhi,india
1992,Delhi,india
2013,Delhi,india
1963,Delhi,india
1970,Delhi,india
2016,Delhi,india
2017,Delhi,india
2007,Delhi,india
2014,Delhi,india
2011,Delhi,india
2010,Delhi,india
1992,Delhi,india
1973,Delhi,india
1983,Delhi,india
1999,Delhi,india
2010,Delhi,india
1991,Delhi,india
1954,Delhi,india
2008,Delhi,india
1999,Delhi,india
1971,Delhi,india
2009,Delhi,india
1991,Delhi,india
2005,Delhi,india
1992,Delhi,india
1969,Delhi,india
1990,Delhi,india
2004,Delhi,india
2008,Delhi,india
2015,Delhi,india
2004,Delhi,india
2013,Delhi,india
