year,place,indiaClass
2009,Maharashtra,india
2000,Maharashtra,india
1971,Maharashtra,india
1984,Maharashtra,india
2001,Maharashtra,india
2015,Maharashtra,india
1992,Maharashtra,india
2012,Maharashtra,india
2004,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2013,Maharashtra,india
1992,Maharashtra,india
2008,Maharashtra,india
1999,Maharashtra,india
1962,Maharashtra,india
2007,Maharashtra,india
1970,Maharashtra,india
1962,Maharashtra,india
2001,Maharashtra,india
1999,Maharashtra,india
2009,Maharashtra,india
1972,Maharashtra,india
1985,Maharashtra,india
2001,Maharashtra,india
2013,Maharashtra,india
2010,Maharashtra,india
1992,Maharashtra,india
1970,Maharashtra,india
2004,Maharashtra,india
2003,Maharashtra,india
2002,Maharashtra,india
1969,Maharashtra,india
2001,Maharashtra,india
2012,Maharashtra,india
1968,Maharashtra,india
1970,Maharashtra,india
1958,Maharashtra,india
1976,Maharashtra,india
1982,Maharashtra,india
1991,Maharashtra,india
2006,Maharashtra,india
1975,Maharashtra,india
2002,Maharashtra,india
2004,Maharashtra,india
2000,Maharashtra,india
1992,Maharashtra,india
2009,Maharashtra,india
2000,Maharashtra,india
1970,Maharashtra,india
2009,Maharashtra,india
2001,Maharashtra,india
1972,Maharashtra,india
2002,Maharashtra,india
1982,Maharashtra,india
1999,Maharashtra,india
2003,Maharashtra,india
2015,Maharashtra,india
1968,Maharashtra,india
2000,Maharashtra,india
1975,Maharashtra,india
1990,Maharashtra,india
1999,Maharashtra,india
1992,Maharashtra,india
2013,Maharashtra,india
1977,Maharashtra,india
1988,Maharashtra,india
2011,Maharashtra,india
2011,Maharashtra,india
1992,Maharashtra,india
1990,Maharashtra,india
2013,Maharashtra,india
1970,Maharashtra,india
1961,Maharashtra,india
1989,Maharashtra,india
2008,Maharashtra,india
1969,Maharashtra,india
1982,Maharashtra,india
2011,Maharashtra,india
1969,Maharashtra,india
1987,Maharashtra,india
2002,Maharashtra,india
1977,Maharashtra,india
1967,Maharashtra,india
1971,Maharashtra,india
1998,Maharashtra,india
2009,Maharashtra,india
1969,Maharashtra,india
1999,Maharashtra,india
2001,Maharashtra,india
1968,Maharashtra,india
1975,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2008,Maharashtra,india
2013,Maharashtra,india
1972,Maharashtra,india
1991,Maharashtra,india
1974,Maharashtra,india
1971,Maharashtra,india
1992,Maharashtra,india
1991,Maharashtra,india
1963,Maharashtra,india
1974,Maharashtra,india
1991,Maharashtra,india
2015,Maharashtra,india
1990,Maharashtra,india
2014,Maharashtra,india
2013,Maharashtra,india
1983,Maharashtra,india
1991,Maharashtra,india
1969,Maharashtra,india
1964,Maharashtra,india
1985,Maharashtra,india
2003,Maharashtra,india
1992,Maharashtra,india
1990,Maharashtra,india
1974,Maharashtra,india
1990,Maharashtra,india
2001,Maharashtra,india
2006,Maharashtra,india
1977,Maharashtra,india
2014,Maharashtra,india
2014,Maharashtra,india
1976,Maharashtra,india
2009,Maharashtra,india
2002,Maharashtra,india
1990,Maharashtra,india
2009,Maharashtra,india
2001,Maharashtra,india
2015,Maharashtra,india
1970,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2004,Maharashtra,india
1990,Maharashtra,india
1970,Maharashtra,india
2013,Maharashtra,india
2003,Maharashtra,india
1976,Maharashtra,india
2005,Maharashtra,india
1991,Maharashtra,india
2014,Maharashtra,india
2000,Maharashtra,india
2013,Maharashtra,india
1971,Maharashtra,india
2005,Maharashtra,india
1971,Maharashtra,india
2015,Maharashtra,india
2010,Maharashtra,india
1984,Maharashtra,india
1986,Maharashtra,india
2003,Maharashtra,india
2011,Maharashtra,india
2006,Maharashtra,india
2010,Maharashtra,india
2015,Maharashtra,india
1999,Maharashtra,india
1967,Maharashtra,india
2003,Maharashtra,india
2012,Maharashtra,india
2011,Maharashtra,india
2012,Maharashtra,india
1988,Maharashtra,india
2005,Maharashtra,india
2012,Maharashtra,india
2009,Maharashtra,india
1968,Maharashtra,india
1992,Maharashtra,india
2011,Maharashtra,india
2007,Maharashtra,india
2000,Maharashtra,india
2015,Maharashtra,india
1991,Maharashtra,india
2001,Maharashtra,india
2002,Maharashtra,india
2010,Maharashtra,india
1976,Maharashtra,india
1991,Maharashtra,india
1973,Maharashtra,india
1985,Maharashtra,india
2014,Maharashtra,india
2013,Maharashtra,india
1974,Maharashtra,india
2013,Maharashtra,india
1969,Maharashtra,india
1999,Maharashtra,india
2010,Maharashtra,india
2011,Maharashtra,india
1968,Maharashtra,india
2013,Maharashtra,india
2011,Maharashtra,india
1992,Maharashtra,india
2008,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2007,Maharashtra,india
1971,Maharashtra,india
2009,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2012,Maharashtra,india
1967,Maharashtra,india
1972,Maharashtra,india
2014,Maharashtra,india
2014,Maharashtra,india
1984,Maharashtra,india
1987,Maharashtra,india
1964,Maharashtra,india
1972,Maharashtra,india
1972,Maharashtra,india
2011,Maharashtra,india
2012,Maharashtra,india
2005,Maharashtra,india
2002,Maharashtra,india
1982,Maharashtra,india
1959,Maharashtra,india
1972,Maharashtra,india
1986,Maharashtra,india
1989,Maharashtra,india
1954,Maharashtra,india
1987,Maharashtra,india
1973,Maharashtra,india
2009,Maharashtra,india
1969,Maharashtra,india
1955,Maharashtra,india
1981,Maharashtra,india
1986,Maharashtra,india
1974,Maharashtra,india
1972,Maharashtra,india
1966,Maharashtra,india
1975,Maharashtra,india
1972,Maharashtra,india
1957,Maharashtra,india
1987,Maharashtra,india
1991,Maharashtra,india
1955,Maharashtra,india
1972,Maharashtra,india
1970,Maharashtra,india
1985,Maharashtra,india
1963,Maharashtra,india
1965,Maharashtra,india
2010,Maharashtra,india
1973,Maharashtra,india
1973,Maharashtra,india
1990,Maharashtra,india
1987,Maharashtra,india
1964,Maharashtra,india
1977,Maharashtra,india
1968,Maharashtra,india
1954,Maharashtra,india
1973,Maharashtra,india
1966,Maharashtra,india
1971,Maharashtra,india
1976,Maharashtra,india
1973,Maharashtra,india
1973,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
1971,Maharashtra,india
1964,Maharashtra,india
1967,Maharashtra,india
1965,Maharashtra,india
1974,Maharashtra,india
1961,Maharashtra,india
2010,Maharashtra,india
2002,Maharashtra,india
1971,Maharashtra,india
1987,Maharashtra,india
2004,Maharashtra,india
1968,Maharashtra,india
1990,Maharashtra,india
2002,Maharashtra,india
1986,Maharashtra,india
1973,Maharashtra,india
1990,Maharashtra,india
1967,Maharashtra,india
1968,Maharashtra,india
1972,Maharashtra,india
1955,Maharashtra,india
2006,Maharashtra,india
1969,Maharashtra,india
1984,Maharashtra,india
1957,Maharashtra,india
1992,Maharashtra,india
1992,Maharashtra,india
1976,Maharashtra,india
1972,Maharashtra,india
1976,Maharashtra,india
2007,Maharashtra,india
1974,Maharashtra,india
1983,Maharashtra,india
2001,Maharashtra,india
1972,Maharashtra,india
2001,Maharashtra,india
2001,Maharashtra,india
1969,Maharashtra,india
1970,Maharashtra,india
2009,Maharashtra,india
1976,Maharashtra,india
1992,Maharashtra,india
2004,Maharashtra,india
1990,Maharashtra,india
2002,Maharashtra,india
1977,Maharashtra,india
2013,Maharashtra,india
1988,Maharashtra,india
1967,Maharashtra,india
2002,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
1991,Maharashtra,india
1999,Maharashtra,india
1965,Maharashtra,india
1969,Maharashtra,india
1998,Maharashtra,india
1971,Maharashtra,india
1962,Maharashtra,india
2013,Maharashtra,india
1992,Maharashtra,india
1988,Maharashtra,india
1969,Maharashtra,india
1966,Maharashtra,india
1975,Maharashtra,india
1970,Maharashtra,india
1966,Maharashtra,india
1972,Maharashtra,india
1981,Maharashtra,india
1962,Maharashtra,india
1973,Maharashtra,india
1992,Maharashtra,india
1972,Maharashtra,india
1968,Maharashtra,india
1984,Maharashtra,india
2005,Maharashtra,india
2012,Maharashtra,india
1990,Maharashtra,india
1968,Maharashtra,india
1970,Maharashtra,india
1970,Maharashtra,india
2006,Maharashtra,india
1971,Maharashtra,india
1970,Maharashtra,india
2003,Maharashtra,india
1974,Maharashtra,india
1992,Maharashtra,india
1975,Maharashtra,india
1991,Maharashtra,india
1992,Maharashtra,india
1965,Maharashtra,india
1968,Maharashtra,india
1991,Maharashtra,india
1969,Maharashtra,india
1969,Maharashtra,india
2007,Maharashtra,india
2001,Maharashtra,india
2013,Maharashtra,india
1990,Maharashtra,india
2009,Maharashtra,india
2004,Maharashtra,india
1984,Maharashtra,india
1990,Maharashtra,india
2005,Maharashtra,india
2009,Maharashtra,india
1989,Maharashtra,india
1965,Maharashtra,india
1972,Maharashtra,india
1992,Maharashtra,india
1964,Maharashtra,india
2005,Maharashtra,india
1983,Maharashtra,india
1975,Maharashtra,india
1972,Maharashtra,india
1976,Maharashtra,india
1967,Maharashtra,india
1966,Maharashtra,india
1987,Maharashtra,india
1998,Maharashtra,india
2000,Maharashtra,india
2011,Maharashtra,india
1959,Maharashtra,india
1982,Maharashtra,india
1962,Maharashtra,india
1973,Maharashtra,india
1966,Maharashtra,india
1982,Maharashtra,india
1973,Maharashtra,india
2003,Maharashtra,india
2012,Maharashtra,india
2008,Maharashtra,india
2011,Maharashtra,india
1969,Maharashtra,india
1962,Maharashtra,india
1972,Maharashtra,india
1992,Maharashtra,india
1990,Maharashtra,india
2014,Maharashtra,india
2012,Maharashtra,india
1974,Maharashtra,india
2013,Maharashtra,india
1990,Maharashtra,india
2012,Maharashtra,india
1981,Maharashtra,india
1969,Maharashtra,india
2002,Maharashtra,india
1983,Maharashtra,india
2013,Maharashtra,india
2014,Maharashtra,india
2010,Maharashtra,india
1992,Maharashtra,india
1973,Maharashtra,india
1973,Maharashtra,india
1985,Maharashtra,india
1958,Maharashtra,india
1991,Maharashtra,india
1961,Maharashtra,india
1972,Maharashtra,india
1971,Maharashtra,india
2004,Maharashtra,india
2014,Maharashtra,india
1959,Maharashtra,india
2007,Maharashtra,india
2013,Maharashtra,india
2000,Maharashtra,india
2002,Maharashtra,india
2012,Maharashtra,india
1991,Maharashtra,india
2008,Maharashtra,india
2006,Maharashtra,india
1969,Maharashtra,india
1954,Maharashtra,india
1955,Maharashtra,india
1992,Maharashtra,india
2010,Maharashtra,india
2002,Maharashtra,india
1960,Maharashtra,india
2005,Maharashtra,india
2009,Maharashtra,india
2014,Maharashtra,india
2012,Maharashtra,india
2011,Maharashtra,india
2003,Maharashtra,india
2007,Maharashtra,india
2007,Maharashtra,india
1954,Maharashtra,india
1970,Maharashtra,india
1954,Maharashtra,india
1954,Maharashtra,india
1959,Maharashtra,india
1990,Maharashtra,india
1967,Maharashtra,india
2004,Maharashtra,india
1991,Maharashtra,india
1963,Maharashtra,india
1992,Maharashtra,india
1972,Maharashtra,india
1967,Maharashtra,india
1989,Maharashtra,india
1968,Maharashtra,india
1962,Maharashtra,india
2001,Maharashtra,india
1957,Maharashtra,india
1998,Maharashtra,india
1972,Maharashtra,india
1954,Maharashtra,india
1959,Maharashtra,india
1956,Maharashtra,india
1965,Maharashtra,india
1963,Maharashtra,india
1960,Maharashtra,india
2013,Maharashtra,india
2007,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2011,Maharashtra,india
2012,Maharashtra,india
1967,Maharashtra,india
2009,Maharashtra,india
1998,Maharashtra,india
1999,Maharashtra,india
2003,Maharashtra,india
1988,Maharashtra,india
1972,Maharashtra,india
1976,Maharashtra,india
2006,Maharashtra,india
1985,Maharashtra,india
2008,Maharashtra,india
2001,Maharashtra,india
2006,Maharashtra,india
1972,Maharashtra,india
1958,Maharashtra,india
1972,Maharashtra,india
2013,Maharashtra,india
1981,Maharashtra,india
1990,Maharashtra,india
2002,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2000,Maharashtra,india
1968,Maharashtra,india
2003,Maharashtra,india
1967,Maharashtra,india
2002,Maharashtra,india
1954,Maharashtra,india
1959,Maharashtra,india
2003,Maharashtra,india
1965,Maharashtra,india
2004,Maharashtra,india
2014,Maharashtra,india
2001,Maharashtra,india
1973,Maharashtra,india
1957,Maharashtra,india
2001,Maharashtra,india
2012,Maharashtra,india
2006,Maharashtra,india
1975,Maharashtra,india
1999,Maharashtra,india
1984,Maharashtra,india
1990,Maharashtra,india
2001,Maharashtra,india
1987,Maharashtra,india
1969,Maharashtra,india
1974,Maharashtra,india
1990,Maharashtra,india
2013,Maharashtra,india
1984,Maharashtra,india
1984,Maharashtra,india
1975,Maharashtra,india
1987,Maharashtra,india
2001,Maharashtra,india
1975,Maharashtra,india
2007,Maharashtra,india
1991,Maharashtra,india
2000,Maharashtra,india
2014,Maharashtra,india
1999,Maharashtra,india
1969,Maharashtra,india
2014,Maharashtra,india
1970,Maharashtra,india
2014,Maharashtra,india
2006,Maharashtra,india
1958,Maharashtra,india
2013,Maharashtra,india
2014,Maharashtra,india
2013,Maharashtra,india
2012,Maharashtra,india
2003,Maharashtra,india
2005,Maharashtra,india
1975,Maharashtra,india
2001,Maharashtra,india
2007,Maharashtra,india
1984,Maharashtra,india
2008,Maharashtra,india
2015,Maharashtra,india
2001,Maharashtra,india
2000,Maharashtra,india
2002,Maharashtra,india
1968,Maharashtra,india
1971,Maharashtra,india
1992,Maharashtra,india
2001,Maharashtra,india
1983,Maharashtra,india
1970,Maharashtra,india
2010,Maharashtra,india
1985,Maharashtra,india
1971,Maharashtra,india
1981,Maharashtra,india
1968,Maharashtra,india
1959,Maharashtra,india
1991,Maharashtra,india
1970,Maharashtra,india
1971,Maharashtra,india
1959,Maharashtra,india
1958,Maharashtra,india
1991,Maharashtra,india
2014,Maharashtra,india
1975,Maharashtra,india
2010,Maharashtra,india
1958,Maharashtra,india
2009,Maharashtra,india
1959,Maharashtra,india
1977,Maharashtra,india
1965,Maharashtra,india
1973,Maharashtra,india
1972,Maharashtra,india
1974,Maharashtra,india
1959,Maharashtra,india
1969,Maharashtra,india
1987,Maharashtra,india
1976,Maharashtra,india
2011,Maharashtra,india
1961,Maharashtra,india
1991,Maharashtra,india
2000,Maharashtra,india
2008,Maharashtra,india
1992,Maharashtra,india
1990,Maharashtra,india
2010,Maharashtra,india
1960,Maharashtra,india
1963,Maharashtra,india
1971,Maharashtra,india
1986,Maharashtra,india
1972,Maharashtra,india
1992,Maharashtra,india
1970,Maharashtra,india
1968,Maharashtra,india
1959,Maharashtra,india
1968,Maharashtra,india
2004,Maharashtra,india
1989,Maharashtra,india
2005,Maharashtra,india
2009,Maharashtra,india
2005,Maharashtra,india
1960,Maharashtra,india
1970,Maharashtra,india
2014,Maharashtra,india
1969,Maharashtra,india
2013,Maharashtra,india
2012,Maharashtra,india
1971,Maharashtra,india
1969,Maharashtra,india
1963,Maharashtra,india
1999,Maharashtra,india
1963,Maharashtra,india
1971,Maharashtra,india
2002,Maharashtra,india
2002,Maharashtra,india
1970,Maharashtra,india
1974,Maharashtra,india
1990,Maharashtra,india
2011,Maharashtra,india
1982,Maharashtra,india
1992,Maharashtra,india
1985,Maharashtra,india
2012,Maharashtra,india
1991,Maharashtra,india
1973,Maharashtra,india
2011,Maharashtra,india
1983,Maharashtra,india
2011,Maharashtra,india
1991,Maharashtra,india
1988,Maharashtra,india
1960,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
1971,Maharashtra,india
1973,Maharashtra,india
1991,Maharashtra,india
2001,Maharashtra,india
2006,Maharashtra,india
1969,Maharashtra,india
1962,Maharashtra,india
1965,Maharashtra,india
2001,Maharashtra,india
1998,Maharashtra,india
1966,Maharashtra,india
1981,Maharashtra,india
1984,Maharashtra,india
1955,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
1972,Maharashtra,india
1986,Maharashtra,india
1992,Maharashtra,india
1987,Maharashtra,india
1969,Maharashtra,india
2002,Maharashtra,india
2001,Maharashtra,india
2002,Maharashtra,india
1987,Maharashtra,india
1965,Maharashtra,india
1991,Maharashtra,india
1983,Maharashtra,india
1973,Maharashtra,india
2003,Maharashtra,india
1990,Maharashtra,india
2014,Maharashtra,india
1984,Maharashtra,india
1962,Maharashtra,india
2013,Maharashtra,india
1962,Maharashtra,india
2012,Maharashtra,india
2010,Maharashtra,india
1999,Maharashtra,india
2008,Maharashtra,india
2014,Maharashtra,india
2004,Maharashtra,india
1991,Maharashtra,india
2011,Maharashtra,india
1980,Maharashtra,india
1990,Maharashtra,india
1991,Maharashtra,india
2006,Maharashtra,india
1965,Maharashtra,india
2013,Maharashtra,india
2009,Maharashtra,india
2012,Maharashtra,india
1988,Maharashtra,india
2009,Maharashtra,india
2012,Maharashtra,india
2008,Maharashtra,india
1966,Maharashtra,india
2001,Maharashtra,india
1990,Maharashtra,india
1971,Maharashtra,india
2010,Maharashtra,india
2011,Maharashtra,india
1970,Maharashtra,india
2006,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
2006,Maharashtra,india
1992,Maharashtra,india
2002,Maharashtra,india
1955,Maharashtra,india
2007,Maharashtra,india
2003,Maharashtra,india
1958,Maharashtra,india
1992,Maharashtra,india
2008,Maharashtra,india
2013,Maharashtra,india
2001,Maharashtra,india
2016,Maharashtra,india
2017,Maharashtra,india
1961,Maharashtra,india
1992,Maharashtra,india
1989,Maharashtra,india
2013,Maharashtra,india
2007,Maharashtra,india
1976,Maharashtra,india
1998,Maharashtra,india
1991,Maharashtra,india
1985,Maharashtra,india
1975,Maharashtra,india
2014,Maharashtra,india
2002,Maharashtra,india
2009,Maharashtra,india
2001,Maharashtra,india
2014,Maharashtra,india
1971,Maharashtra,india
2000,Maharashtra,india
2008,Maharashtra,india
1992,Maharashtra,india
1965,Maharashtra,india
2004,Maharashtra,india
1988,Maharashtra,india
1999,Maharashtra,india
2006,Maharashtra,india
1990,Maharashtra,india
1989,Maharashtra,india
2012,Maharashtra,india
1967,Maharashtra,india
1967,Maharashtra,india
1961,Maharashtra,india
1974,Maharashtra,india
2016,Andaman & Nicobar,india
2017,Andaman & Nicobar,india
1992,Andhra Pradesh,india
1974,Andhra Pradesh,india
1957,Andhra Pradesh,india
1970,Andhra Pradesh,india
2008,Andhra Pradesh,india
1992,Andhra Pradesh,india
1967,Andhra Pradesh,india
1968,Andhra Pradesh,india
1971,Andhra Pradesh,india
2003,Andhra Pradesh,india
1970,Andhra Pradesh,india
1986,Andhra Pradesh,india
1984,Andhra Pradesh,india
1992,Andhra Pradesh,india
1956,Andhra Pradesh,india
1992,Andhra Pradesh,india
1970,Andhra Pradesh,india
1977,Assam,india
1998,Assam,india
2013,Assam,india
2008,Assam,india
1991,Assam,india
2002,Assam,india
2009,Assam,india
1972,Bihar,india
1992,Bihar,india
2007,Bihar,india
1984,Bihar,india
2010,Bihar,india
1975,Bihar,india
2011,Bihar,india
1991,Bihar,india
1970,Bihar,india
1991,Bihar,india
1971,Bihar,india
2013,Chandigarh,india
2011,Chandigarh,india
1984,Chandigarh,india
2014,Chattisgarh,india
2013,Chattisgarh,india
2009,Chattisgarh,india
2008,Chattisgarh,india
2016,Chattisgarh,india
2017,Chattisgarh,india
2005,Chattisgarh,india
2003,Chattisgarh,india
1985,Goa,india
2005,Goa,india
2012,Goa,india
2006,Goa,india
2007,Goa,india
2016,Gujarat,india
2017,Gujarat,india
1984,Gujarat,india
2011,Gujarat,india
1981,Gujarat,india
1990,Gujarat,india
2007,Gujarat,india
1983,Gujarat,india
2014,Gujarat,india
1989,Gujarat,india
2011,Gujarat,india
1971,Gujarat,india
1971,Gujarat,india
2006,Gujarat,india
2012,Gujarat,india
2004,Gujarat,india
1987,Gujarat,india
2010,Gujarat,india
2010,Gujarat,india
2010,Gujarat,india
1965,Gujarat,india
1992,Gujarat,india
1955,Gujarat,india
2009,Gujarat,india
1965,Gujarat,india
1972,Gujarat,india
1985,Gujarat,india
1989,Gujarat,india
2011,Haryana,india
1983,Haryana,india
2006,Haryana,india
2014,Himachal Pradesh,india
2012,Himachal Pradesh,india
1977,Jammu & Kashmir,india
2013,Jammu & Kashmir,india
2013,Jammu & Kashmir,india
2009,Jammu & Kashmir,india
2004,Jammu & Kashmir,india
2012,Jammu & Kashmir,india
2002,Jammu & Kashmir,india
2013,Jammu & Kashmir,india
2007,Jammu & Kashmir,india
1999,Jammu & Kashmir,india
2012,Jharkhand,india
2006,Jharkhand,india
2005,Jharkhand,india
2011,Jharkhand,india
2008,Jharkhand,india
2010,Jharkhand,india
1984,Kerala,india
2006,Kerala,india
1982,Kerala,india
2003,Kerala,india
1991,Kerala,india
1973,Kerala,india
1971,Kerala,india
1990,Kerala,india
2010,Kerala,india
1975,Kerala,india
2009,Kerala,india
2014,Kerala,india
2009,Kerala,india
1970,Kerala,india
2012,Kerala,india
2007,Kerala,india
2006,Kerala,india
2004,Kerala,india
2008,Kerala,india
2011,Kerala,india
1965,Kerala,india
2010,Kerala,india
1974,Kerala,india
2011,Kerala,india
1974,Kerala,india
2009,Kerala,india
1984,Kerala,india
2008,Kerala,india
2004,Kerala,india
2007,Kerala,india
1971,Kerala,india
2013,Kerala,india
2011,Kerala,india
1983,Kerala,india
2007,Kerala,india
2010,Kerala,india
2007,Kerala,india
2011,Kerala,india
1973,Kerala,india
2009,Kerala,india
1971,Kerala,india
2002,Madhya Pradesh,india
1990,Madhya Pradesh,india
2016,Madhya Pradesh,india
2017,Madhya Pradesh,india
1984,Madhya Pradesh,india
2015,Madhya Pradesh,india
2010,Madhya Pradesh,india
2002,Madhya Pradesh,india
1960,Madhya Pradesh,india
1973,Madhya Pradesh,india
1957,Madhya Pradesh,india
2008,Madhya Pradesh,india
2011,Madhya Pradesh,india
1961,Madhya Pradesh,india
2012,Madhya Pradesh,india
1977,Madhya Pradesh,india
1990,Madhya Pradesh,india
1988,Madhya Pradesh,india
2012,Madhya Pradesh,india
2006,Madhya Pradesh,india
2007,Madhya Pradesh,india
2006,Manipur,india
2014,Manipur,india
1975,Manipur,india
2009,Manipur,india
2010,Manipur,india
2004,Manipur,india
2016,Manipur,india
2017,Manipur,india
2008,Manipur,india
2011,Manipur,india
1998,Manipur,india
2003,Manipur,india
1970,Manipur,india
2012,Manipur,india
2007,Manipur,india
2010,Manipur,india
1989,Manipur,india
2005,Manipur,india
1972,Manipur,india
2007,Manipur,india
2005,Manipur,india
2008,Meghalaya,india
2015,Meghalaya,india
2009,Meghalaya,india
2008,Nagaland,india
1992,Odisha,india
2005,Odisha,india
2008,Odisha,india
2006,Odisha,india
2013,Odisha,india
1974,Odisha,india
1988,Odisha,india
2000,Odisha,india
2005,Odisha,india
1998,Odisha,india
2004,Odisha,india
2004,Odisha,india
2012,Odisha,india
1976,Odisha,india
1992,Odisha,india
2015,Odisha,india
2010,Odisha,india
1976,Odisha,india
2001,Odisha,india
2013,Odisha,india
1969,Odisha,india
1975,Odisha,india
2014,Odisha,india
1988,Odisha,india
1969,Punjab,india
1991,Punjab,india
2008,Punjab,india
1983,Punjab,india
1967,Punjab,india
2009,Punjab,india
1969,Punjab,india
2005,Punjab,india
1971,Punjab,india
1973,Punjab,india
1983,Punjab,india
2010,Rajasthan,india
1968,Rajasthan,india
2016,Rajasthan,india
2017,Rajasthan,india
1982,Rajasthan,india
1986,Rajasthan,india
1974,Rajasthan,india
2004,Rajasthan,india
1988,Rajasthan,india
2015,Rajasthan,india
1963,Rajasthan,india
2001,Rajasthan,india
2012,Rajasthan,india
2014,Rajasthan,india
2010,Rajasthan,india
2016,Rajasthan,india
2017,Rajasthan,india
1984,Rajasthan,india
1984,Rajasthan,india
2009,Rajasthan,india
1970,Rajasthan,india
2013,Rajasthan,india
2012,Rajasthan,india
2006,Rajasthan,india
2002,Rajasthan,india
2013,Sikkim,india
2007,Sikkim,india
2011,Telangana,india
1968,Telangana,india
1988,Telangana,india
2007,Telangana,india
2013,Telangana,india
2001,Telangana,india
2009,Telangana,india
2013,Telangana,india
2011,Telangana,india
1990,Telangana,india
2016,Telangana,india
2017,Telangana,india
1975,Telangana,india
2009,Telangana,india
2006,Telangana,india
2015,Telangana,india
2007,Telangana,india
2014,Telangana,india
1992,Telangana,india
2001,Telangana,india
2010,Telangana,india
2007,Telangana,india
2013,Telangana,india
2016,Telangana,india
2017,Telangana,india
1990,Telangana,india
2010,Telangana,india
1969,Telangana,india
2001,Telangana,india
2001,Telangana,india
2008,Telangana,india
1974,Uttarakhand,india
2006,Uttarakhand,india
1970,Andhra Pradesh,india
1962,Andhra Pradesh,india
1970,Andhra Pradesh,india
1967,Andhra Pradesh,india
1974,Andhra Pradesh,india
1970,Andhra Pradesh,india
1964,Andhra Pradesh,india
1962,Andhra Pradesh,india
1971,Assam,india
1963,Assam,india
1969,Assam,india
1973,Bihar,india
1987,Bihar,india
2011,Bihar,india
1971,Bihar,india
1971,Bihar,india
1974,Bihar,india
1985,Chandigarh,india
1972,Chandigarh,india
1989,Chandigarh,india
1975,Chandigarh,india
1971,Chandigarh,india
1972,Chandigarh,india
1972,Chandigarh,india
1983,Goa,india
1954,Gujarat,india
1983,Gujarat,india
1973,Gujarat,india
1972,Gujarat,india
1998,Gujarat,india
2013,Haryana,india
1963,Haryana,india
1968,Haryana,india
2007,Haryana,india
2009,Haryana,india
2009,Haryana,india
1999,Himachal Pradesh,india
1976,Himachal Pradesh,india
1991,Jammu & Kashmir,india
1983,Jammu & Kashmir,india
1991,Jammu & Kashmir,india
1974,Jammu & Kashmir,india
1974,Jammu & Kashmir,india
1974,Jammu & Kashmir,india
1961,Jammu & Kashmir,india
1972,Jammu & Kashmir,india
1958,Kerala,india
1957,Kerala,india
1983,Kerala,india
1958,Kerala,india
1985,Kerala,india
1959,Kerala,india
2008,Kerala,india
1972,Madhya Pradesh,india
2011,Madhya Pradesh,india
1975,Madhya Pradesh,india
1976,Madhya Pradesh,india
1972,Madhya Pradesh,india
1975,Madhya Pradesh,india
1985,Meghalaya,india
1983,Mizoram,india
1954,Odisha,india
1971,Odisha,india
1962,Odisha,india
1972,Punjab,india
1972,Punjab,india
1988,Punjab,india
1959,Punjab,india
1967,Punjab,india
1955,Punjab,india
1972,Punjab,india
1970,Punjab,india
1960,Punjab,india
1972,Punjab,india
1971,Punjab,india
1987,Punjab,india
1965,Punjab,india
1976,Punjab,india
1987,Punjab,india
1965,Punjab,india
1955,Punjab,india
1972,Punjab,india
1971,Punjab,india
1966,Punjab,india
1966,Punjab,india
1977,Punjab,india
1972,Punjab,india
1965,Punjab,india
1972,Punjab,india
1972,Punjab,india
1954,Punjab,india
1972,Punjab,india
1958,Punjab,india
1972,Punjab,india
1989,Punjab,india
1988,Punjab,india
1962,Punjab,india
1963,Punjab,india
1972,Punjab,india
1955,Punjab,india
1972,Punjab,india
1954,Punjab,india
1962,Punjab,india
1983,Punjab,india
1985,Rajasthan,india
1961,Rajasthan,india
2002,Rajasthan,india
1956,Rajasthan,india
1969,Rajasthan,india
1970,Rajasthan,india
1972,Rajasthan,india
1957,Telangana,india
1974,Telangana,india
2001,Telangana,india
2011,Telangana,india
1983,Telangana,india
1960,Telangana,india
1954,Telangana,india
1967,Telangana,india
2004,Telangana,india
2000,Uttarakhand,india
1975,Uttarakhand,india
1969,Uttarakhand,india
1985,Uttarakhand,india
1974,Uttarakhand,india
1984,Uttarakhand,india
1973,Uttarakhand,india
1967,Uttarakhand,india
1973,Uttarakhand,india
2016,Jharkhand,india
2017,Jharkhand,india
1981,Andhra Pradesh,india
1976,Andhra Pradesh,india
1970,Andhra Pradesh,india
1969,Andhra Pradesh,india
2011,Andhra Pradesh,india
1984,Andhra Pradesh,india
2001,Andhra Pradesh,india
1968,Andhra Pradesh,india
1968,Andhra Pradesh,india
1972,Andhra Pradesh,india
2013,Andhra Pradesh,india
