user,CPU1 Temp,CPU2 Temp,Inlet Temp,Memory usage,Fan1 speed,Fan2 speed,Fan3 speed,Fan4 speed,Power consumption
nayshah,0,0,0,4.02,0,0,0,0,126.5
nayshah,59,47,10,4.62,8470,8330,8330,8470,123.5
nayshah,67,56,10,3.8,10430,10430,10500,10500,135.5
nayshah,67,50,15,4.53,8960,8750,8890,8890,135.5
nayshah,62,49,10,4.54,8890,8750,8750,8890,138
nayshah,65,45,10,6.92,8260,8260,8260,8260,130
nayshah,70,45,12,32.04,9170,9170,9170,9170,138.5
nayshah,78,53,10,4.5,8960,8960,8960,9170,135
nayshah,74,47,9,4.66,8540,8540,8540,8470,136
nayshah,60,43,9,4.3,8960,8890,8890,8890,134.5
nayshah,71,46,10,13.38,8890,8960,8890,8890,139
nayshah,71,51,15,7.89,8750,8680,8750,8750,132
nayshah,62,49,10,11.13,9310,9310,9310,9170,134
nayshah,67,48,9,4.49,8120,8050,8120,8050,129
nayshah,72,46,11,4.6,8050,8120,8120,8120,126.5
nayshah,74,53,13,5.47,8330,8470,8330,8330,133
nayshah,64,48,9,5.41,8960,8890,8960,8960,130.5
nayshah,61,48,9,3.95,9170,9310,9170,9310,131
nayshah,52,38,11,4.14,10500,10500,10500,10500,129
nayshah,56,46,9,5.37,9170,9100,9310,9170,129
nayshah,50,40,12,5.21,9870,9870,9870,9870,123
nayshah,68,52,9,4.21,8540,8540,8540,8680,127.5
nayshah,72,53,9,11.13,8120,8120,8120,8050,135.5
nayshah,80,46,11,4.71,9380,9450,9450,9380,134.5
nayshah,73,49,10,18.84,8330,8470,8330,8330,131.5
fazhussa,55,59,10,29.95,10220,10290,10220,10220,159
fazhussa,86,61,9,19.3,10220,10290,10290,10220,164.5
fazhussa,67,52,9,13.56,8680,8540,8680,8540,162.5
fazhussa,77,57,11,13.31,8960,8960,8960,8890,169
fazhussa,68,50,9,15.16,9170,9170,9170,9170,162.5
fazhussa,75,49,8,14.19,8540,8540,8540,8540,158
fazhussa,78,50,10,20.52,9170,9170,9170,9170,163
fazhussa,75,55,10,14.7,9310,9310,9310,9310,161
fazhussa,77,54,9,12.53,8890,9100,9100,8960,161.5
fazhussa,72,54,9,13.92,8120,8050,8050,8120,163
fazhussa,72,53,12,13.34,9590,9450,9590,9590,166
fazhussa,84,61,12,14.22,9870,9870,10010,9870,163
fazhussa,77,52,10,14.5,8890,8890,8890,8890,163.5
fazhussa,48,43,9,7.84,9310,9170,9310,9170,110
fazhussa,71,49,10,14.24,10430,10430,10430,10430,163
