Job,Type_Node,Rack,Node,Month,Day,Time,Year,Nodes,N,NB,P,Q,time,gflops,class
345693,cpu,3,45,Mar,2,17:23:59,2021,1,141696,192,6,6,1824.42,1039.6,High
345694,cpu,3,46,Mar,2,21:32:16,2021,1,141696,192,6,6,1826.33,1038.5,High
345695,cpu,3,47,Mar,2,17:02:03,2021,1,141696,192,6,6,1907.99,994.06,Medium
345696,cpu,3,48,Mar,2,16:01:34,2021,1,141696,192,6,6,1958.27,968.53,Medium
345698,cpu,3,50,Mar,2,14:38:09,2021,1,141696,192,6,6,1901.05,997.69,Medium
345699,cpu,3,51,Mar,2,13:36:08,2021,1,141696,192,6,6,1873.73,1012.2,High
345700,cpu,3,52,Mar,2,16:05:46,2021,1,141696,192,6,6,1903.99,996.15,Medium
345701,cpu,3,53,Mar,2,16:35:35,2021,1,141696,192,6,6,1880.71,1008.5,High
345702,cpu,3,54,Mar,2,13:34:54,2021,1,141696,192,6,6,1799.75,1053.8,High
345703,cpu,3,56,Mar,2,15:18:18,2021,1,141696,192,6,6,1836.08,1033,High
345704,cpu,4,1,Mar,2,16:43:35,2021,1,141696,192,6,6,1890.17,1003.4,High
345705,cpu,4,2,Mar,2,14:16:59,2021,1,141696,192,6,6,1866.99,1015.9,High
345707,cpu,4,4,Mar,2,15:59:59,2021,1,141696,192,6,6,1864.12,1017.5,High
345708,cpu,4,5,Mar,2,16:12:39,2021,1,141696,192,6,6,1819.07,1042.6,High
345709,cpu,4,6,Mar,2,15:39:58,2021,1,141696,192,6,6,1895.88,1000.4,High
345710,cpu,4,7,Mar,3,8:31:20,2021,1,141696,192,6,6,1886.39,1005.4,High
345711,cpu,4,8,Mar,3,8:31:57,2021,1,141696,192,6,6,1923.19,986.21,Medium
345712,cpu,4,9,Mar,2,14:12:21,2021,1,141696,192,6,6,1897.49,999.56,Medium
345713,cpu,4,10,Mar,2,16:55:50,2021,1,141696,192,6,6,1898.14,999.22,Medium
345714,cpu,4,11,Mar,2,16:56:17,2021,1,141696,192,6,6,1932.63,981.39,Medium
345715,cpu,4,12,Mar,2,15:39:58,2021,1,141696,192,6,6,1901.23,997.59,Medium
345716,cpu,4,13,Mar,2,15:39:46,2021,1,141696,192,6,6,1887.92,1004.6,High
345718,cpu,4,15,Mar,2,13:26:14,2021,1,141696,192,6,6,1891.04,1003,High
345719,cpu,4,16,Mar,2,16:54:27,2021,1,141696,192,6,6,1965.65,964.9,Medium
345720,cpu,4,17,Mar,2,15:55:39,2021,1,141696,192,6,6,1914.49,990.68,Medium
345721,cpu,4,18,Mar,2,16:33:27,2021,1,141696,192,6,6,1850.83,1024.8,High
345722,cpu,4,20,Mar,2,16:12:14,2021,1,141696,192,6,6,1978.39,958.69,Medium
345723,cpu,4,21,Mar,2,16:42:17,2021,1,141696,192,6,6,1857.99,1020.8,High
345724,cpu,4,22,Mar,2,16:48:23,2021,1,141696,192,6,6,1896.54,1000.1,High
345725,cpu,4,23,Mar,2,16:48:39,2021,1,141696,192,6,6,1914.17,990.85,Medium
345726,cpu,4,24,Mar,2,16:56:29,2021,1,141696,192,6,6,1889.31,1003.9,High
345727,cpu,4,25,Mar,2,16:56:26,2021,1,141696,192,6,6,1886.37,1005.5,High
345728,cpu,4,26,Mar,2,16:05:13,2021,1,141696,192,6,6,1868.09,1015.3,High
345729,cpu,4,27,Mar,2,14:17:33,2021,1,141696,192,6,6,1904.26,996.01,Medium
345730,cpu,4,28,Mar,3,1:47:38,2021,1,141696,192,6,6,1902.05,997.17,Medium
345731,cpu,4,29,Mar,2,16:00:51,2021,1,141696,192,6,6,1918.56,988.58,Medium
345732,cpu,4,30,Mar,2,14:37:45,2021,1,141696,192,6,6,1878.06,1009.9,High
345733,cpu,4,31,Mar,3,7:57:44,2021,1,141696,192,6,6,1911.43,992.27,Medium
345735,cpu,4,34,Mar,2,16:05:39,2021,1,141696,192,6,6,1893.58,1001.6,High
345736,cpu,4,35,Mar,2,18:51:29,2021,1,141696,192,6,6,4737.58,400.34,Low
345737,cpu,4,36,Mar,2,14:18:13,2021,1,141696,192,6,6,1941.01,977.15,Medium
345738,cpu,4,37,Mar,2,14:22:46,2021,1,141696,192,6,6,1905.73,995.24,Medium
345739,cpu,4,38,Mar,2,16:11:47,2021,1,141696,192,6,6,1955.68,969.82,Medium
345740,cpu,4,39,Mar,2,14:11:57,2021,1,141696,192,6,6,1873.67,1012.3,High
345741,cpu,4,40,Mar,2,14:11:58,2021,1,141696,192,6,6,1876.57,1010.7,High
345742,cpu,4,41,Mar,2,13:26:26,2021,1,141696,192,6,6,1905.39,995.42,Medium
345743,cpu,4,42,Mar,2,15:24:27,2021,1,141696,192,6,6,1895.95,1000.4,High
345744,cpu,4,43,Mar,2,15:35:30,2021,1,141696,192,6,6,1937.88,978.73,Medium
345745,cpu,4,44,Mar,2,14:38:39,2021,1,141696,192,6,6,1930.39,982.53,Medium
345746,cpu,4,45,Mar,2,16:10:33,2021,1,141696,192,6,6,1879.55,1009.1,High
345747,cpu,4,46,Mar,2,13:46:47,2021,1,141696,192,6,6,1899.74,998.38,Medium
345748,cpu,4,47,Mar,2,17:01:54,2021,1,141696,192,6,6,1902.62,996.87,Medium
345749,cpu,4,48,Mar,2,13:46:20,2021,1,141696,192,6,6,1873.25,1012.5,High
345750,cpu,5,1,Mar,2,15:25:23,2021,1,141696,192,6,6,1951.33,971.98,Medium
345751,cpu,5,2,Mar,2,22:17:11,2021,1,141696,192,6,6,1882.44,1007.6,High
345752,cpu,5,3,Mar,2,21:24:16,2021,1,141696,192,6,6,2040.23,929.63,Medium
345753,cpu,5,4,Mar,2,15:24:30,2021,1,141696,192,6,6,1901.65,997.38,Medium
345754,cpu,5,5,Mar,2,14:24:07,2021,1,141696,192,6,6,1981.45,957.21,Medium
345755,cpu,5,6,Mar,2,16:06:24,2021,1,141696,192,6,6,1940.6,977.35,Medium
345756,cpu,5,7,Mar,2,15:19:49,2021,1,141696,192,6,6,1927.71,983.89,Medium
345757,cpu,5,8,Mar,2,15:35:19,2021,1,141696,192,6,6,1929.51,982.97,Medium
345758,cpu,5,9,Mar,3,7:32:05,2021,1,141696,192,6,6,1945.69,974.8,Medium
345759,cpu,5,10,Mar,2,15:19:52,2021,1,141696,192,6,6,1929.61,982.92,Medium
345760,cpu,5,11,Mar,2,21:23:24,2021,1,141696,192,6,6,1983.77,956.09,Medium
345761,cpu,5,12,Mar,2,13:37:20,2021,1,141696,192,6,6,1944.51,975.39,Medium
345931,cpu,5,13,Mar,2,19:37:53,2021,1,141696,192,6,6,3268.93,580.21,Low
345860,cpu,5,15,Mar,2,18:04:50,2021,1,141696,192,6,6,3240.94,585.22,Low
345858,cpu,5,16,Mar,2,18:23:15,2021,1,141696,192,6,6,3252.41,583.15,Low
345767,cpu,5,17,Mar,2,16:59:05,2021,1,141696,192,6,6,1954.02,970.64,Medium
345768,cpu,5,18,Mar,2,16:05:45,2021,1,141696,192,6,6,1900.46,998,Medium
345769,cpu,5,19,Mar,2,16:50:34,2021,1,141696,192,6,6,1888.45,1004.3,High
345770,cpu,5,20,Mar,2,13:26:41,2021,1,141696,192,6,6,1917.26,989.25,Medium
345771,cpu,5,21,Mar,2,17:06:41,2021,1,141696,192,6,6,1897.51,999.55,Medium
345772,cpu,5,22,Mar,2,17:11:02,2021,1,141696,192,6,6,1915.28,990.28,Medium
345773,cpu,5,23,Mar,2,16:51:38,2021,1,141696,192,6,6,1948.78,973.25,Medium
345774,cpu,5,24,Mar,2,13:41:58,2021,1,141696,192,6,6,1920.24,987.72,Medium
345775,cpu,6,1,Mar,2,16:12:37,2021,1,141696,192,6,6,2003.13,946.84,Medium
