Job,Type_Node,Rack,Node,Month,Day,Time,Year,Nodes,N,NB,P,Q,time,gflops,class
345826,cpu,7,36,Mar,2,14:39:05,2021,1,141696,192,6,6,1954.25,970.53,Medium
345827,cpu,7,37,Mar,2,15:04:50,2021,1,141696,192,6,6,1958.93,968.21,Medium
345828,cpu,7,38,Mar,2,15:04:07,2021,1,141696,192,6,6,1915.62,990.1,Medium
345829,cpu,7,39,Mar,2,15:05:22,2021,1,141696,192,6,6,1991.32,952.46,Medium
345830,cpu,7,40,Mar,2,14:03:58,2021,1,141696,192,6,6,2008.07,944.52,Medium
345831,cpu,7,41,Mar,2,16:48:49,2021,1,141696,192,6,6,1930.39,982.53,Medium
345832,cpu,7,42,Mar,2,16:10:46,2021,1,141696,192,6,6,1890.41,1003.3,High
345833,cpu,7,43,Mar,2,15:21:04,2021,1,141696,192,6,6,2002.34,947.22,Medium
345834,cpu,7,44,Mar,2,16:06:33,2021,1,141696,192,6,6,1946.2,974.54,Medium
345835,cpu,7,46,Mar,2,19:15:07,2021,1,141696,192,6,6,1933.54,980.92,Medium
345836,cpu,7,47,Mar,2,14:28:42,2021,1,141696,192,6,6,1949.54,972.87,Medium
345837,cpu,7,48,Mar,2,16:05:57,2021,1,141696,192,6,6,1908.45,993.82,Medium
999999,cpu,7,49,Mar,3,8:47:53,2021,1,141696,192,6,6,1981.57,957.15,Medium
999999,cpu,7,51,Mar,3,8:55:01,2021,1,141696,192,6,6,1991.7,952.28,Medium
345838,cpu,7,53,Mar,2,19:18:43,2021,1,141696,192,6,6,1994.73,950.84,Medium
345839,cpu,7,54,Mar,2,16:10:59,2021,1,141696,192,6,6,1906.43,994.87,Medium
345840,cpu,7,55,Mar,2,13:47:56,2021,1,141696,192,6,6,1965.61,964.92,Medium
345841,cpu,7,56,Mar,2,15:20:37,2021,1,141696,192,6,6,1978,958.88,Medium
345842,cpu,7,57,Mar,2,21:42:11,2021,1,141696,192,6,6,1961.67,966.86,Medium
345843,cpu,7,58,Mar,2,17:15:34,2021,1,141696,192,6,6,1943.89,975.7,Medium
345844,cpu,7,59,Mar,3,9:09:41,2021,1,141696,192,6,6,2051.36,924.59,Medium
345845,cpu,7,60,Mar,2,16:17:01,2021,1,141696,192,6,6,1955.62,969.85,Medium
345846,cpu,8,1,Mar,2,13:37:10,2021,1,141696,192,6,6,1934.44,980.47,Medium
345847,cpu,8,2,Mar,2,14:23:22,2021,1,141696,192,6,6,1925.76,984.89,Medium
345848,cpu,8,3,Mar,2,17:18:04,2021,1,141696,192,6,6,1989.97,953.11,Medium
345849,cpu,8,4,Mar,2,13:42:55,2021,1,141696,192,6,6,1968.75,963.38,Medium
345850,cpu,8,5,Mar,2,15:19:18,2021,1,141696,192,6,6,1895.49,1000.6,High
345851,cpu,8,6,Mar,2,16:27:50,2021,1,141696,192,6,6,1956.96,969.19,Medium
345852,cpu,8,7,Mar,2,16:11:45,2021,1,141696,192,6,6,1948.87,973.21,Medium
345853,cpu,8,8,Mar,2,18:04:00,2021,1,141696,192,6,6,1961.67,966.86,Medium
345854,cpu,8,9,Mar,2,16:06:10,2021,1,141696,192,6,6,1923.6,985.99,Medium
345855,cpu,8,10,Mar,2,17:02:14,2021,1,141696,192,6,6,1904.17,996.05,Medium
345856,cpu,8,11,Mar,2,17:03:24,2021,1,141696,192,6,6,1970.58,962.48,Medium
345857,cpu,8,12,Mar,3,8:32:16,2021,1,141696,192,6,6,1941.56,976.87,Medium
345762,cpu,8,13,Mar,2,19:40:35,2021,1,141696,192,6,6,3269.9,580.04,Low
345929,cpu,8,14,Mar,2,18:26:01,2021,1,141696,192,6,6,3247.65,584.01,Low
345884,cpu,8,15,Mar,2,14:51:22,2021,1,141696,192,6,6,3275.23,579.09,Low
345862,cpu,8,17,Mar,2,13:37:04,2021,1,141696,192,6,6,1929,983.23,Medium
345863,cpu,8,18,Mar,2,14:23:30,2021,1,141696,192,6,6,1945.41,974.94,Medium
345865,cpu,8,20,Mar,3,9:07:53,2021,1,141696,192,6,6,1942.33,976.49,Medium
345866,cpu,8,21,Mar,2,15:25:00,2021,1,141696,192,6,6,1929.52,982.97,Medium
345867,cpu,8,22,Mar,3,7:31:39,2021,1,141696,192,6,6,1917.32,989.22,Medium
345868,cpu,8,23,Mar,2,16:07:04,2021,1,141696,192,6,6,1977.49,959.12,Medium
345869,cpu,8,24,Mar,2,16:09:42,2021,1,141696,192,6,6,1825.89,1038.8,High
345870,cpu,8,25,Mar,2,16:06:30,2021,1,141696,192,6,6,1943.67,975.81,Medium
345871,cpu,8,26,Mar,2,16:49:12,2021,1,141696,192,6,6,1952.71,971.29,Medium
345874,cpu,8,29,Mar,3,8:32:40,2021,1,141696,192,6,6,1962.81,966.3,Medium
345875,cpu,8,30,Mar,2,15:46:22,2021,1,141696,192,6,6,1972.92,961.35,Medium
345876,cpu,8,31,Mar,2,14:29:16,2021,1,141696,192,6,6,1982.8,956.56,Medium
345877,cpu,8,32,Mar,2,17:16:09,2021,1,141696,192,6,6,1979.42,958.19,Medium
345878,cpu,8,33,Mar,2,16:01:37,2021,1,141696,192,6,6,1960.8,967.29,Medium
345880,cpu,8,34,Mar,2,18:18:27,2021,1,141696,192,6,6,1971.88,961.85,Medium
345881,cpu,8,35,Mar,2,16:02:29,2021,1,141696,192,6,6,2012.54,942.42,Medium
345882,cpu,8,36,Mar,2,16:02:24,2021,1,141696,192,6,6,2009.35,943.91,Medium
345765,cpu,8,39,Mar,2,17:27:06,2021,1,141696,192,6,6,3250.29,583.53,Low
345930,cpu,8,40,Mar,2,17:27:10,2021,1,141696,192,6,6,3254.88,582.71,Low
345885,cpu,8,41,Mar,2,16:07:04,2021,1,141696,192,6,6,1977.03,959.34,Medium
345886,cpu,8,42,Mar,2,16:28:29,2021,1,141696,192,6,6,1990.24,952.98,Medium
345887,cpu,8,43,Mar,3,8:32:54,2021,1,141696,192,6,6,1982.72,956.59,Medium
345888,cpu,8,44,Mar,3,8:42:39,2021,1,141696,192,6,6,1853.89,1023.1,High
345889,cpu,8,45,Mar,3,8:43:59,2021,1,141696,192,6,6,1931.26,982.08,Medium
345890,cpu,8,46,Mar,2,17:14:34,2021,1,141696,192,6,6,1879.41,1009.2,High
345891,cpu,8,47,Mar,3,7:31:20,2021,1,141696,192,6,6,1899.02,998.76,Medium
345892,cpu,8,48,Mar,2,16:01:22,2021,1,141696,192,6,6,1945.09,975.1,Medium
345893,cpu,8,49,Mar,3,8:32:42,2021,1,141696,192,6,6,1968.25,963.63,Medium
345894,cpu,8,50,Mar,2,22:17:36,2021,1,141696,192,6,6,1906.54,994.82,Medium
345895,cpu,8,51,Mar,2,16:16:59,2021,1,141696,192,6,6,1949.67,972.81,Medium
345896,cpu,8,52,Mar,2,17:15:03,2021,1,141696,192,6,6,1940.94,977.18,Medium
345897,cpu,8,53,Mar,2,21:42:25,2021,1,141696,192,6,6,1935.82,979.77,Medium
345898,cpu,8,55,Mar,3,7:33:25,2021,1,141696,192,6,6,2023.39,937.37,Medium
345899,cpu,8,56,Mar,2,16:11:56,2021,1,141696,192,6,6,1961.17,967.1,Medium
345901,cpu,8,57,Mar,2,17:17:58,2021,1,141696,192,6,6,1977.63,959.06,Medium
345902,cpu,8,58,Mar,2,15:41:28,2021,1,141696,192,6,6,1984.85,955.57,Medium
345903,cpu,8,59,Mar,2,16:49:19,2021,1,141696,192,6,6,1952.77,971.26,Medium
345904,cpu,8,60,Mar,2,16:50:12,2021,1,141696,192,6,6,2010.51,943.37,Medium
345905,cpu,9,1,Mar,2,16:02:00,2021,1,141696,192,6,6,1981.46,957.2,Medium
345906,cpu,9,2,Mar,2,14:23:22,2021,1,141696,192,6,6,1935.99,979.68,Medium
345907,cpu,9,3,Mar,2,16:07:12,2021,1,141696,192,6,6,1987.83,954.13,Medium
345908,cpu,9,4,Mar,2,14:32:58,2021,1,141696,192,6,6,1901.02,997.7,Medium
345909,cpu,9,5,Mar,2,14:34:01,2021,1,141696,192,6,6,1961.92,966.73,Medium
345910,cpu,9,6,Mar,2,16:39:04,2021,1,141696,192,6,6,1983.44,956.25,Medium
345911,cpu,9,7,Mar,2,16:38:18,2021,1,141696,192,6,6,1940.57,977.37,Medium
345912,cpu,9,8,Mar,2,16:11:42,2021,1,141696,192,6,6,1946.3,974.5,Medium
345913,cpu,9,9,Mar,2,15:55:36,2021,1,141696,192,6,6,1910.82,992.59,Medium
345914,cpu,9,10,Mar,2,16:54:07,2021,1,141696,192,6,6,1927.52,983.99,Medium
345915,cpu,9,11,Mar,2,16:53:58,2021,1,141696,192,6,6,1925.42,985.06,Medium
345916,cpu,9,12,Mar,2,14:13:12,2021,1,141696,192,6,6,1946.66,974.31,Medium
345917,cpu,9,13,Mar,3,7:33:17,2021,1,141696,192,6,6,2013.84,941.81,Medium
345918,cpu,9,14,Mar,2,16:22:48,2021,1,141696,192,6,6,1977.99,958.88,Medium
345919,cpu,9,15,Mar,2,14:19:02,2021,1,141696,192,6,6,1988.31,953.9,Medium
345920,cpu,9,16,Mar,2,16:12:11,2021,1,141696,192,6,6,1975.81,959.94,Medium
345921,cpu,9,17,Mar,2,14:39:52,2021,1,141696,192,6,6,2007.97,944.56,Medium
345922,cpu,9,18,Mar,2,13:42:18,2021,1,141696,192,6,6,1937.49,978.93,Medium
345923,cpu,9,19,Mar,2,16:01:05,2021,1,141696,192,6,6,1928.65,983.41,Medium
345924,cpu,9,20,Mar,2,15:25:26,2021,1,141696,192,6,6,1954.67,970.32,Medium
345925,cpu,9,21,Mar,2,13:37:32,2021,1,141696,192,6,6,1956.42,969.45,Medium
345926,cpu,9,22,Mar,2,18:32:03,2021,1,141696,192,6,6,1914.3,990.78,Medium
345927,cpu,9,23,Mar,2,23:19:48,2021,1,141696,192,6,6,1930.99,982.22,Medium
345928,cpu,9,24,Mar,3,7:32:07,2021,1,141696,192,6,6,1945.51,974.89,Medium
345883,cpu,9,25,Mar,2,18:40:29,2021,1,141696,192,6,6,3256.48,582.42,Low
345859,cpu,9,26,Mar,2,22:05:57,2021,1,141696,192,6,6,3251.63,583.29,Low
345764,cpu,9,27,Mar,2,18:05:44,2021,1,141696,192,6,6,3290.64,576.38,Low
345932,cpu,9,28,Mar,2,16:02:48,2021,1,141696,192,6,6,3236.72,585.98,Low
