feature_name,adegbalo,akitazum,bdankesr,bjayee,ddocimo,esowell,fazhussa,fmolajaf,hge,ipandey,iscottfl,jagkaur,janfisch,jenjense,jieyao,jjerke,johruska,juandomi,junxzhan,kafroz,lediaz,mdmia,nayshah,nwijaya,qinyuan,qiu25856,rafiisla,rirising,rmanser,shahrahm,stalukde,twixtrom,wan39502,war94577,zha98475
CPU1 Temp,10652.217121669592,21678.111435899733,30705.700850885467,30027.4755548602,30464.472368212442,19552.73789215244,21641.11875750041,13537.612900617982,20424.60790148701,38646.603645231735,24064.655511477496,25931.85827838685,27896.28106816612,22971.784229041896,14684.896226549035,26446.69606879973,9131.48987300896,120784.73645127287,35999.55093785,55240.38922538328,23244.577463561654,7409.633494461663,21258.154353958987,12711.90639135538,12662.791783270839,20247.17896008708,17195.817685823058,87461.58027862523,31038.6511734094,36557.581466357515,10274.847829935776,10887.421678055529,23502.0084468227,49305.01772666559,10748.527665643045
CPU2 Temp,11920.158744150436,58623.67060518173,25735.33140929233,21685.540922432992,45920.30424410128,50997.34974652752,8822.897938478054,6942.5276210889815,11221.54684501806,14038.665736357743,63489.54720005281,20774.73142079003,22680.427013340664,14295.823639950942,27322.990647661514,11403.755158542346,27250.896694755542,135452.96316585006,8194.426887033602,17973.537133313075,15056.301212173948,25773.90014447618,19090.081625950617,49559.36306960924,11748.110712326734,13405.192775498444,41886.721066024904,22044.99455990543,12892.180964901348,23182.795775545026,26188.286994209193,39708.43125425291,39435.843923335095,27084.787001808407,34975.0714829617
Inlet Temp,6097.5587552504885,24086.375296941693,68960.15553923309,10459.823714694416,26691.914152834794,15301.974217943743,24653.81339784378,15617.65595189686,19268.729201220136,59700.98417043621,66436.9293812138,7126.203081299539,36490.244769796365,13727.662757064605,9951.570302171114,30087.895825689684,14968.317349518902,30950.59361591634,38848.259559209495,25886.05642329432,7824.005625029984,9056.476168129351,8122.060526878847,13759.883725193731,21179.885296101478,6977.173471734754,23209.850010352133,18537.460807432068,11148.068090975104,24377.56118797493,15633.812108903785,10477.534971142983,24069.69421116399,67061.00701026672,30348.23825658936
Memory usage,23581.689351844732,38201.01317237176,63663.27385752824,34136.029684511785,79822.15025391789,64078.48820108998,23639.330120453662,32920.94720209921,31961.207647878367,35734.73561396017,80659.13604973866,28296.33346978487,69356.49799215217,43135.90331135904,36433.69077692772,29085.536644795233,50735.43555294893,80498.26258663647,77401.57965638879,40069.625215341286,45943.840992183046,29063.726700647636,46451.96223413224,116982.04293974787,41784.96863700388,68727.15472352566,35412.255331301414,68076.60204192098,33740.925104276066,80130.22551353888,41303.019911768395,21440.055841452282,102278.22966376507,51187.411768059836,76175.68088511209
Fan1 speed,14175.77014493484,62425.299679895215,22458.30328494511,18124.741330719564,63954.87931070909,12782.852672125351,19510.5159797149,14789.225384852634,11331.058320557428,37982.801193614636,119675.31636464756,24103.188394558627,65853.78187857872,43002.52203508306,5487.580551553632,49987.64690846903,22005.898675662203,36185.3463313138,24241.75454428193,49644.73226139941,10503.399838887284,14984.511411217207,7022.732287034535,19814.37759805239,37533.43227894778,24597.986998179025,23825.952944679648,46008.264383785194,11657.338893078047,23814.420788507832,32559.944287861163,20119.085525033017,13625.519238032251,33010.768947859564,25520.46591655096
all_fans_the_same,2024.7775047369532,145.93203689071794,12.380511962778945,817.3642992969237,332.44508323080345,1747.7389462299645,45.558911652190936,88.87387546960835,243.45395652930858,2655.5912945249624,689.2973043213707,1247.3345562734862,50.72636985145315,23.561846903802948,1755.8710868797157,84.70035303668358,118.34122364152176,0.5926486962385609,1538.5792329692474,23.171276394763552,34.06165238098072,61.56676298352161,0.0,2086.789204452832,19.09916931023011,8.877538182810744,4385.282852107927,69.69751739892328,173.8732876860651,3968.622707497917,3201.743486787765,620.5006027545332,0.7254746062754137,3071.429037224808,145.96267580106095
diff_CPU,8242.887167178407,30042.786217786128,47886.44793088275,6803.123500935236,66224.22656258695,6934.201595431012,14358.673361395848,18394.066221686007,10230.740894877898,53358.32516159165,37242.54504449581,13750.1600845481,59622.60399336371,54464.43975787449,19549.93418596668,14402.580162809487,12275.783236641371,36559.9796181912,19511.243973724708,40054.95624317417,13981.184857627619,23570.610419378467,13422.424999240191,16507.350612992406,112763.41809685687,84755.59424019852,24280.398378582457,22029.129340385443,13484.979745100576,46510.93699099575,26311.874610380062,35692.08174160544,60695.76495783932,73243.03783769936,18470.388556466507
Power consumption,46567.973047690655,26399.492970688687,26589.31419975392,36068.14528692957,66598.11529568787,186914.71581461406,57064.18303667888,46489.86666492153,22135.54602725487,29904.194199413487,20492.1688293633,46987.582961960965,29710.721544280885,173963.05183072912,65698.88649807074,40639.17403961989,122607.16325342936,49000.0408919354,163980.05688848151,43685.460406890124,37961.66557872841,16099.99086885956,84410.02833343166,139724.00168742007,131161.2332866867,142392.87097531694,63608.046008756464,88340.38111885448,29351.848263834385,83856.66179838368,111656.0699358443,23136.033049790658,130794.61205151162,20980.20415887516,76055.96204451052
