feature_name,0,2,3
Fan1 speed,0.0,0.0,0.0
Fan2 speed,0.0021171040576117416,0.0,0.00499530553202171
Inlet Temp,0.041556845352982985,0.00013982464709895882,5.946998100095401e-05
Fan4 speed,0.0,0.11507359533442427,0.0
Power consumption,0.03901876406536272,0.04773993927764895,0.028887662494909806
Fan3 speed,0.032586479277265074,0.1317325628110421,0.0
CPU1 Temp,0.14569918727429676,0.09743427938753833,0.11640538767445568
Memory usage,0.09855541142616096,0.3985598724848787,0.03889049644606476
CPU2 Temp,0.4058167366451703,0.09750236982983292,0.38675714247052856
