feature_name,0,2
Fan4 speed,1.691355389077387e-16,1.691355389077387e-16
Inlet Temp,3.400058012914542e-16,3.400058012914542e-16
Fan2 speed,2.0018708912772354e-15,2.0018708912772354e-15
Fan1 speed,2.127638343285554e-15,2.127638343285554e-15
Fan3 speed,8.559125630469566e-15,8.559125630469566e-15
Power consumption,0.003117213455308979,0.003117213455308979
Memory usage,0.1092181713713809,0.1092181713713809
CPU2 Temp,0.6966962303267321,0.6966962303267321
CPU1 Temp,2.6344853067394562,2.6344853067394562
