feature_name,0,2
Fan4 speed,1.7520707107365752e-16,1.7520707107365752e-16
Fan2 speed,1.2732870313669764e-15,1.2732870313669764e-15
Fan3 speed,1.927711462679227e-15,1.927711462679227e-15
Fan1 speed,2.5992662883167483e-15,2.5992662883167483e-15
Inlet Temp,1.1240140762591722e-14,1.1240140762591722e-14
Power consumption,0.006086296260860444,0.006086296260860444
Memory usage,0.21586419559682746,0.21586419559682746
CPU2 Temp,1.3517183387237743,1.3517183387237743
CPU1 Temp,5.163913117948628,5.163913117948628
