feature_name,0,2
Fan2 speed,6.604959634781693e-16,6.604959634781693e-16
Fan4 speed,6.617970060851519e-16,6.617970060851519e-16
Fan3 speed,2.0027382530152238e-15,2.0027382530152238e-15
Fan1 speed,5.377642775528102e-15,5.377642775528102e-15
Inlet Temp,5.409735159833673e-15,5.409735159833673e-15
Memory usage,0.0029622431944987177,0.0029622431944987177
Power consumption,0.08869556691705816,0.08869556691705816
CPU2 Temp,0.6054473552093138,0.6054473552093138
CPU1 Temp,2.273335082410013,2.273335082410013
