feature_name,0,2,3,4
Fan1 speed,0.0,0.05073449701041918,0.00026815757304904896,0.001188935284288742
Fan2 speed,0.018897655947287005,0.0525504626154552,5.224948941451015e-05,0.011048403232724002
Inlet Temp,0.12046298874013843,0.0,0.00043516313580090814,0.007952435595135428
Fan4 speed,0.0,0.02412663640226878,0.00025742793542585913,0.16441596591747146
Fan3 speed,0.1352136540788943,0.09672827950307188,0.0,0.09796595694649775
CPU2 Temp,0.0755692089117824,0.03102984406978391,0.25820282542596174,0.45708740559746897
Power consumption,0.2849256616424563,0.42745156144282054,0.0664234112846415,0.06565347585735348
CPU1 Temp,0.1880800680292118,0.47139248972077386,2.336009070973321,0.6981668412933943
Memory usage,0.9616685075851428,1.6064638070335526,0.27498928881181894,1.313222704116402
