feature_name,0,2
Fan4 speed,1.5918256296432176e-15,1.5918256296432176e-15
Fan1 speed,2.3956531203239706e-15,2.3956531203239706e-15
Fan2 speed,8.684893082477885e-15,8.684893082477885e-15
Inlet Temp,1.2918485725599282e-14,1.2918485725599282e-14
Fan3 speed,1.1443001780528394e-06,1.1443001780528394e-06
Memory usage,0.03732048428892076,0.03732048428892076
Power consumption,0.11332131687386744,0.11332131687386744
CPU2 Temp,0.9680766158691596,0.9680766158691596
CPU1 Temp,3.6770055905359214,3.6770055905359214
