JobID,user,submitTime,startTime
754912,uozuguze,Fri Apr 19 13:18:09 CDT 2019,Fri Apr 19 18:32:34 CDT 2019
754913,uozuguze,Fri Apr 19 13:18:09 CDT 2019,Fri Apr 19 18:32:34 CDT 2019
754914,uozuguze,Fri Apr 19 13:18:09 CDT 2019,Fri Apr 19 18:32:34 CDT 2019
754915,uozuguze,Fri Apr 19 13:18:10 CDT 2019,Fri Apr 19 18:32:34 CDT 2019
754916,uozuguze,Fri Apr 19 13:18:10 CDT 2019,Fri Apr 19 18:33:50 CDT 2019
755238,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
754918,uozuguze,Fri Apr 19 13:18:10 CDT 2019,Fri Apr 19 19:34:55 CDT 2019
754919,christan,Fri Apr 19 13:18:56 CDT 2019,Fri Apr 19 15:26:00 CDT 2019
754920,christan,Fri Apr 19 13:19:06 CDT 2019,Fri Apr 19 16:44:34 CDT 2019
754921,christan,Fri Apr 19 13:19:09 CDT 2019,Fri Apr 19 17:07:27 CDT 2019
754922,christan,Fri Apr 19 13:19:16 CDT 2019,Fri Apr 19 17:08:09 CDT 2019
755239,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
754924,christan,Fri Apr 19 13:19:22 CDT 2019,Fri Apr 19 18:00:06 CDT 2019
754925,christan,Fri Apr 19 13:19:25 CDT 2019,Fri Apr 19 18:12:52 CDT 2019
754926,christan,Fri Apr 19 13:19:27 CDT 2019,Fri Apr 19 18:32:34 CDT 2019
754927,christan,Fri Apr 19 13:19:30 CDT 2019,Fri Apr 19 18:32:34 CDT 2019
754928,christan,Fri Apr 19 13:19:33 CDT 2019,Fri Apr 19 19:11:05 CDT 2019
754929,christan,Fri Apr 19 13:19:36 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754930,christan,Fri Apr 19 13:19:39 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754931,christan,Fri Apr 19 13:19:42 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754932,christan,Fri Apr 19 13:19:46 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754933,christan,Fri Apr 19 13:19:49 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754934,christan,Fri Apr 19 13:19:52 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754935,christan,Fri Apr 19 13:20:25 CDT 2019,Fri Apr 19 19:35:39 CDT 2019
754936,christan,Fri Apr 19 13:20:28 CDT 2019,Fri Apr 19 19:35:39 CDT 2019
754937,christan,Fri Apr 19 13:20:31 CDT 2019,Fri Apr 19 20:00:03 CDT 2019
