timestamp,192.168.13.108.443-CPU1TempTemperatureReading-TemperatureReading,192.168.13.108.443-CPU2TempTemperatureReading-TemperatureReading,192.168.13.108.443-CUPSSystemUsage-CPUUsage,192.168.13.108.443-CUPSSystemUsage-IOUsage,192.168.13.108.443-CUPSSystemUsage-MemoryUsage,192.168.13.108.443-CUPSSystemUsage-SystemUsage,192.168.13.108.443-Fan1RPMReading-RPMReading,192.168.13.108.443-Fan2RPMReading-RPMReading,192.168.13.108.443-Fan3RPMReading-RPMReading,192.168.13.108.443-Fan4RPMReading-RPMReading,192.168.13.108.443-Fan5RPMReading-RPMReading,192.168.13.108.443-Fan6RPMReading-RPMReading,192.168.13.108.443-DIMMSocketA1TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA2TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA3TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA4TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA5TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA6TemperatureReading-TemperatureReading,192.168.13.108.443-PowerMetricsTotalStoragePower-SystemPowerConsumption,192.168.13.108.443-PowerMetricsTotalStoragePower-TotalCPUPower,192.168.13.108.443-PowerMetricsTotalStoragePower-TotalMemoryPower,192.168.13.108.443-ThermalTotalPSUHeatDissipation-PowerToCoolRatio,192.168.13.108.443-ThermalTotalPSUHeatDissipation-SysAirflowPerSysInputPower
2020-03-25T17:39:54.217000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:54.360000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:54.464000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:54.583000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:54.584000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:54.710000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:54.831000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:54.977000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:55.088000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:55.188000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:55.299000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:55.423000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:55.556000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,209,167,10,18.5,388.1000061
2020-03-25T17:39:55.684000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:55.813000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:55.939000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.045000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.173000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.174000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.175000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.294000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.411000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.526000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.645000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.755000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.868000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:56.973000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.086000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.218000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.343000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.471000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.591000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.697000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.817000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.818000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.819000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:57.941000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:58.054000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:58.161000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:58.263000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:58.367000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:58.482000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:58.598000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:58.742000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:58.874000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:59.025000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:59.151000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:59.273000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:59.402000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:59.403000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:59.524000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:59.634000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:59.752000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:39:59.902000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:00.105000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:00.298000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:00.413000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:00.525000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:00.664000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:00.794000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:00.921000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:00.922000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.051000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.163000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.285000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.286000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.290000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.291000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.412000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.521000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.629000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.734000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.838000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:01.946000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
2020-03-25T17:40:02.061000000Z,43,46,2,0,0,3,10320,10320,10320,10080,10320,10320,26,25,26,29,28,28,207,167,10,18.5,388.1000061
