timestamp,192.168.13.108.443-CPU1TempTemperatureReading-TemperatureReading,192.168.13.108.443-CPU2TempTemperatureReading-TemperatureReading,192.168.13.108.443-CUPSSystemUsage-CPUUsage,192.168.13.108.443-CUPSSystemUsage-MemoryUsage,192.168.13.108.443-DIMMSocketA1TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA2TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA3TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA4TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA5TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA6TemperatureReading-TemperatureReading
2020-03-23T16:57:28.059000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:28.207000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:28.393000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:28.573000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:28.723000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:28.876000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:28.995000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:29.126000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:29.246000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:29.355000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:29.481000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:29.620000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:29.751000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:29.883000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:29.990000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:30.188000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:30.372000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:30.563000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:30.770000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:30.980000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:31.175000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:31.284000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:31.411000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:31.536000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:31.648000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:31.772000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:31.941000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:32.087000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:32.267000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:32.399000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:32.544000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:32.659000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:32.660000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:32.789000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:32.937000000Z,32,36,0,0,23,23,23,24,24,24
2020-03-23T16:57:33.078000000Z,32,36,0,0,23,23,23,24,24,24
