labels,10.150.3.112:443-iDRAC.Embedded.1#CPU1Temp-CurrentReading,10.150.3.112:443-iDRAC.Embedded.1#CPU2Temp-CurrentReading,10.150.3.112:443-iDRAC.Embedded.1#InletTemp-CurrentReading,10.150.3.112:443-0x17||Fan.Embedded.1A-CurrentReading,10.150.3.112:443-0x17||Fan.Embedded.1B-CurrentReading,10.150.3.112:443-0x17||Fan.Embedded.2A-CurrentReading,10.150.3.112:443-0x17||Fan.Embedded.2B-CurrentReading,10.150.3.112:443-0x17||Fan.Embedded.3A-CurrentReading,10.150.3.112:443-0x17||Fan.Embedded.3B-CurrentReading,10.150.3.112:443-0x17||Fan.Embedded.4A-CurrentReading,10.150.3.112:443-0x17||Fan.Embedded.4B-CurrentReading,10.150.3.112:443-PSU.Slot.1-InputVoltage,10.150.3.112:443-PSU.Slot.2-InputVoltage,10.150.3.112:443-AggregateCUPS-CpuCupsLastHourAvg,10.150.3.112:443-AggregateCUPS-CpuCupsLastHourMin,10.150.3.112:443-AggregateCUPS-CpuCupsLastHourMax,10.150.3.112:443-AggregateCUPS-CpuCupsLastDayAvg,10.150.3.112:443-AggregateCUPS-CpuCupsLastDayMin,10.150.3.112:443-AggregateCUPS-CpuCupsLastDayMax,10.150.3.112:443-AggregateCUPS-CpuCupsLastWeekAvg,10.150.3.112:443-AggregateCUPS-CpuCupsLastWeekMin,10.150.3.112:443-AggregateCUPS-CpuCupsLastWeekMax,10.150.3.112:443-AggregateCUPS-CpuCupsPeakUtil,10.150.3.112:443-AggregateCUPS-MemCupsLastHourAvg,10.150.3.112:443-AggregateCUPS-MemCupsLastHourMin,10.150.3.112:443-AggregateCUPS-MemCupsLastHourMax,10.150.3.112:443-AggregateCUPS-MemCupsLastDayAvg,10.150.3.112:443-AggregateCUPS-MemCupsLastDayMin,10.150.3.112:443-AggregateCUPS-MemCupsLastDayMax,10.150.3.112:443-AggregateCUPS-MemCupsLastWeekAvg,10.150.3.112:443-AggregateCUPS-MemCupsLastWeekMin,10.150.3.112:443-AggregateCUPS-MemCupsLastWeekMax,10.150.3.112:443-AggregateCUPS-MemCupsPeakUtil,10.150.3.112:443-AggregateCUPS-IoCupsLastHourAvg,10.150.3.112:443-AggregateCUPS-IoCupsLastHourMin,10.150.3.112:443-AggregateCUPS-IoCupsLastHourMax,10.150.3.112:443-AggregateCUPS-IoCupsLastDayAvg,10.150.3.112:443-AggregateCUPS-IoCupsLastDayMin,10.150.3.112:443-AggregateCUPS-IoCupsLastDayMax,10.150.3.112:443-AggregateCUPS-IoCupsLastWeekAvg,10.150.3.112:443-AggregateCUPS-IoCupsLastWeekMin,10.150.3.112:443-AggregateCUPS-IoCupsLastWeekMax,10.150.3.112:443-AggregateCUPS-IoCupsPeakUtil,10.150.3.112:443-AggregateCUPS-SystemCupsLastHourAvg,10.150.3.112:443-AggregateCUPS-SystemCupsLastHourMin,10.150.3.112:443-AggregateCUPS-SystemCupsLastHourMax,10.150.3.112:443-AggregateCUPS-SystemCupsLastDayAvg,10.150.3.112:443-AggregateCUPS-SystemCupsLastDayMin,10.150.3.112:443-AggregateCUPS-SystemCupsLastDayMax,10.150.3.112:443-AggregateCUPS-SystemCupsLastWeekAvg,10.150.3.112:443-AggregateCUPS-SystemCupsLastWeekMin,10.150.3.112:443-AggregateCUPS-SystemCupsLastWeekMax,10.150.3.112:443-AggregateCUPS-SystemCupsPeakUtil,10.150.3.112:443-AggregateCUPS-CpuCupsLastHourMax_1,10.150.3.112:443-AggregateCUPS-CpuCupsLastHourMin_1
1,46.44186046511628,43.54651162790697,22.61627906976744,12068.0,9591.0,12117.0,9590.0,12097.0,9534.0,12074.0,9613.0,205.97674418604652,184.5581395348837,2.0813953488372094,0.0,22.6046511627907,19.441860465116278,0.7674418604651163,31.976744186046513,24.174418604651162,25.069767441860463,31.976744186046513,37.604651162790695,0.7209302325581395,0.0,23.58139534883721,18.162790697674417,0.0,32.36046511627907,20.976744186046513,25.069767441860463,32.36046511627907,37.604651162790695,0.0,0.0,2.813953488372093,0.0,0.0,2.813953488372093,0.0,6.1395348837209305,2.813953488372093,9.209302325581396,2.1627906976744184,0.0,21.848837209302324,18.674418604651162,0.5116279069767442,30.825581395348838,22.25581395348837,25.325581395348838,30.825581395348838,37.98837209302326,22.6046511627907,0.0
2,38.0,39.07692307692308,20.807692307692307,9721.307692307691,7740.0,9724.615384615385,7713.538461538462,9721.307692307691,7654.0,9708.076923076924,7740.0,206.0,198.07692307692307,0.0,0.0,0.0,98.0,3.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,90.0,3.0,0.0,90.0,98.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,99.0,3.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0
3,50.59313725490196,45.40196078431372,24.69607843137255,15160.029411764706,12052.64705882353,15153.28431372549,12029.039215686274,15261.627450980392,12013.019607843138,15162.980392156862,12027.774509803921,204.1764705882353,182.5441176470588,20.651960784313726,0.17647058823529413,74.98529411764706,13.156862745098039,0.39705882352941174,87.84313725490196,13.058823529411764,10.088235294117647,87.93137254901961,87.91176470588235,14.352941176470589,0.08823529411764706,61.55882352941177,11.299019607843137,0.3088235294117647,83.13235294117646,11.622549019607844,10.088235294117647,83.13235294117646,87.91176470588235,0.6666666666666666,0.0,3.7058823529411766,1.0147058823529411,0.0,8.656862745098039,1.0147058823529411,2.7794117647058822,8.882352941176471,24.014705882352942,17.833333333333332,0.17647058823529413,66.94607843137256,12.985294117647058,0.3088235294117647,88.74019607843137,12.882352941176471,10.191176470588236,91.26960784313725,88.80882352941177,77.51470588235294,0.0
4,38.947916666666664,39.572916666666664,21.447916666666668,9723.375,7745.375,9726.0625,7714.020833333333,9726.958333333334,7664.75,9719.791666666666,7743.583333333333,205.72916666666666,171.35416666666666,0.0,2.8125,0.0,93.42708333333333,3.1875,0.0,95.6875,98.0,0.0,0.0,0.0,1.71875,0.0,81.84375,1.2291666666666667,0.0,89.0625,98.0,0.0,0.0,0.0,0.0,0.0,5.9375,0.0,0.0,8.260416666666666,25.53125,0.0,0.0,0.0,2.7604166666666665,0.0,86.77083333333333,2.53125,0.0,93.875,99.0,0.0,0.0,0.0,0.0
5,38.92148337595908,39.486061381074165,21.288235294117648,9751.5641943734,7765.82199488491,9758.360613810743,7734.578260869565,9754.610485933505,7686.640409207161,9750.068542199488,7764.612276214833,206.57416879795397,194.23657289002557,2.1340153452685424,0.0,15.518286445012787,2.1274936061381076,0.0,93.04386189258312,3.166240409207161,0.0,94.48657289002557,98.0,1.2832480818414322,0.0,11.276726342710997,1.2263427109974425,0.0,85.596547314578,1.64539641943734,0.0,87.95204603580562,98.0,0.040025575447570336,0.0,0.7896419437340153,0.0,0.0,6.892583120204604,0.0,0.0,7.69616368286445,25.65690537084399,1.9116368286445014,0.0,14.64987212276215,1.8514066496163684,0.0,90.87826086956522,2.6774936061381074,0.0,93.3772378516624,99.0,15.518286445012787,0.0
