labels,CPU1 Temp,CPU1 Temp_min,CPU1 Temp_max,CPU2 Temp,CPU2 Temp_min,CPU2 Temp_max,Inlet Temp,Inlet Temp_min,Inlet Temp_max,Memory usage,Memory usage_min,Memory usage_max,Fan1 speed,Fan1 speed_min,Fan1 speed_max,Fan2 speed,Fan2 speed_min,Fan2 speed_max,Fan3 speed,Fan3 speed_min,Fan3 speed_max,Fan4 speed,Fan4 speed_min,Fan4 speed_max,Power consumption,Power consumption_min,Power consumption_max,mse
0,62.00000000000001,33,89,49,29,88,17,8,23,6.565000000000001,1.938,48.4935,10080,7070,13230,10080,7210,13300,10080,7070,13230,10080,7070,13440,149,67,182.5,1.8568272810476967
1,61,61,71,46,46,53,0,0,0,3.623,2.8165,41.1125,0,0,0,0,0,0,0,0,0,0,0,0,115.99999999999999,115.99999999999999,134.5,0.17470206568673669
2,40,21,77,32,18,55,12,8,22,14.7445,1.9355,54.534499999999994,7630,5460,11830,7630,5460,11830,7630,5530,11830,7630,5530,11830,68,25,129.5,1.6449603088242029
3,66,49,86,82,45,87,10,8,22,72.868,37.306,94.156,10220,7840,11270,10220,7700,11130,10220,7700,11270,10290,7840,11270,156.5,114.99999999999999,181.5,0.9793832110611277
4,55.99999999999999,32,80,37,28,58.99999999999999,9,8,22,91.8765,50.79800000000001,94.171,8890,8050,10290,8890,8050,10430,8890,8050,10290,8890,8050,10430,101.49999999999999,65,164,0.896151094832598
5,55,33,89,39,28,54,13,9,22,51.4945,20.1515,78.7085,13440,9800,13720,13300,9800,13300,11760,9800,13930,13440,9800,13860,127,66.5,174,1.296552637005919
