labels,CPU1 Temp,CPU1 Temp_min,CPU1 Temp_max,CPU2 Temp,CPU2 Temp_min,CPU2 Temp_max,Inlet Temp,Inlet Temp_min,Inlet Temp_max,Memory usage,Memory usage_min,Memory usage_max,Fan1 speed,Fan1 speed_min,Fan1 speed_max,Fan2 speed,Fan2 speed_min,Fan2 speed_max,Fan3 speed,Fan3 speed_min,Fan3 speed_max,Fan4 speed,Fan4 speed_min,Fan4 speed_max,Power consumption,Power consumption_min,Power consumption_max,mse,radius,description
0,62.00000000000001,35,89,49,29,88,17,8,23,6.565000000000001,2.07,38.2185,10080,7070,13230,10080,7070,13300,10080,7070,13230,10080,7070,13440,149,67,179.5,1.7336440373490634,0.5008138234481058,
1,61,61,71,46,46,53,0,0,0,3.623,2.8165,41.1125,0,0,0,0,0,0,0,0,0,0,0,0,115.99999999999999,115.99999999999999,134.5,0.17470206568673669,0.5008138234481058,
2,36,21,71,34,18,55,9,8,22,7.396499999999999,1.9355,40.2335,8330,5460,11830,8330,5460,11830,8470,5530,11830,8330,5530,11830,70,25,142.5,1.5140082349171649,0.5008138234481058,
3,72,48,89,58.99999999999999,41,87,14,8,22,57.897,25.129500000000004,92.544,9800,7280,12040,9870,7420,12250,9870,7280,12180,10010,7280,11760,164.5,109.5,182.5,1.3584763494387337,0.5008138234481058,High Power consumption
4,33,32,68,29,27,57,10,8,20,65.0545,36.9095,94.148,8890,5670,11480,8890,5670,11340,8890,5670,11480,8890,5670,11340,65.5,63.5,125.49999999999999,1.156670361726685,0.5008138234481058,
5,66,43,82,35,30.999999999999996,58,10,9,13,94.053,75.7195,94.171,8890,8050,9870,8890,8050,9870,8890,8050,9800,8890,8050,9870,124,81.5,173,0.5411826627589165,0.5008138234481058,High Memory usage
6,55,35,89,39,29,51,13,10,22,51.4945,20.1515,64.0945,13440,9870,13720,13300,9870,13300,11760,9800,13930,13440,9870,13860,127,83,168.5,0.9835043084586172,0.5008138234481058,
