labels,10.10.1.1-CPU1 Temp,10.10.1.1-CPU2 Temp,10.10.1.1-Inlet Temp,10.10.1.1-Memory usage,10.10.1.1-Fan1 speed,10.10.1.1-Fan2 speed,10.10.1.1-Fan3 speed,10.10.1.1-Fan4 speed,10.10.1.1-Power consumption,radius
0,57,44,20,5.101402755487004,9870,9870,9870,10010,90.3125,0.4851007287
1,39,32,13,52.25733163807657,9100,9100,8960,9100,44.0625,0.4695620159
2,72,60,13,66.67621985534736,8470,8330,8470,8330,102.8125,0.5343284498
3,3,3,3,0,1050,1050,1050,1050,0,0.3903519545
4,49,41,14,33.156512495570794,16800,16590,16730,16730,101.5625,0.3403616582
5,3,3,3,60.10588406944995,1050,1050,1050,1050,0,0.0583349808
