labels,CPU1 Temp,CPU2 Temp,Inlet Temp,Memory usage,Fan1 speed,Fan2 speed,Fan3 speed,Fan4 speed,Power consumption,radius
0,57,44,20,5.101402755487004,9870,9870,9870,10010,90.3125,0.390765738
1,77,64,17,40.01604935698356,9310,8890,9310,8890,98.75,0.38473216
2,39,32,13,52.25733163807657,9100,9100,8960,9100,44.0625,0.3387923255
3,57,45,14,95.14767492756947,8890,8890,8750,8890,93.75,0.4070644463
4,3,3,3,0,1050,1050,1050,1050,0,0.3903519545
5,58,48,18,41.820038768576616,12460,12390,12390,12390,95.625,0.31739664
6,49,41,14,33.156512495570794,16800,16590,16730,16730,101.5625,0.3403616582
7,3,3,3,60.10588406944995,1050,1050,1050,1050,0,0.0583349808
8,30,27,11,3.5725451778977426,10850,10850,10920,10850,40.625,0.3863087849
9,83,73,17,3.1296246117931505,11060,11060,11130,11130,98.4375,0.3642643429
