labels,CPU1 Temp,CPU1 Temp_min,CPU1 Temp_max,CPU2 Temp,CPU2 Temp_min,CPU2 Temp_max,Inlet Temp,Inlet Temp_min,Inlet Temp_max,Memory usage,Memory usage_min,Memory usage_max,Fan1 speed,Fan1 speed_min,Fan1 speed_max,Fan2 speed,Fan2 speed_min,Fan2 speed_max,Fan3 speed,Fan3 speed_min,Fan3 speed_max,Fan4 speed,Fan4 speed_min,Fan4 speed_max,Power consumption,Power consumption_min,Power consumption_max,mse
0,54,30,89,44,24,79,17,8,22,8.9195,0,46.9545,9450,5740,12810,9590,5740,12810,9590,5670,12810,9660,5740,12880,122,62.5,175.5,2.002229258970338
1,84,49,89,55.99999999999999,40,87,17,8,22,54.9085,15.134,94.1715,9660,7700,12810,9660,7700,12810,9870,7700,12810,9660,7700,12810,169,72,183,1.7592381890779558
2,64,48,71,48,39,53,0,0,0,23.422,2.8165,27.041999999999998,0,0,0,0,0,0,0,0,0,0,0,0,121,114.5,132,0.1478677386632491
3,32,19,60,27,16,45,10,8,20,9.137,1.762,48.848,5740,5530,9380,5740,5460,9450,5740,5530,9380,5740,5530,9450,47,25,83.5,0.8230540619070189
4,37,30.999999999999996,70,33,25,52.00000000000001,11,8,21,66.3275,24.919,94.1715,9380,5740,12250,9310,5670,12390,9310,5740,12390,9310,5740,12390,79,64,147,1.5531110595871698
5,30,18,30,20,15,20,0,0,0,27.049,2.4545,27.049,0,0,0,0,0,0,0,0,0,0,0,0,22.5,22.5,35,0.0843491253582016
