"job_id","array_job_id","array_task_id","name","job_state","user_id","user_name","group_id","cluster","partition","command","current_working_directory","batch_flag","batch_host","nodes","node_count","cpus","tasks","tasks_per_node","cpus_per_task","memory_per_node","memory_per_cpu","priority","time_limit","deadline","submit_time","preempt_time","suspend_time","eligible_time","start_time","end_time","resize_time","restart_cnt","exit_code","derived_exit_code"
2968531,0,,laura_myj,COMPLETED,99038,twixtrom,340,redraider,nocona,/lustre/scratch/twixtrom/nist_wrf_sims/hurricane_laura/best/sub_wrf.bash,/lustre/scratch/twixtrom/nist_wrf_sims/hurricane_laura/best/./,true,,"{cpu-23-35,cpu-23-47,cpu-23-48,cpu-23-49}",4,384,384,0,,,4027,3708,2880,0,1628607056,0,0,1628607056,1628607070,1628705281,0,0,0,0
2958021,0,,P6AF_C3,TIMEOUT,100145,apatyal,310,redraider,nocona,/home/apatyal/P6A_functionalized/P6A_F/E3/3/submit.sh,/home/apatyal/P6A_functionalized/P6A_F/E3/3,true,,{cpu-23-23},1,128,128,128,,,4027,107959,2880,0,1628542564,0,0,1628542564,1628553737,1628726553,0,0,15,15
2968513,0,,HyPHY,FAILED,100218,chtong,350,redraider,nocona,/lustre/work/chtong/1Ant_genomics/7HyPHY/2RELAX_ant_103/11/relax.sh,/lustre/work/chtong/1Ant_genomics/7HyPHY/2RELAX_ant_103/11,true,,{cpu-23-24},1,44,44,0,,,4027,1159,2880,0,1628605959,0,0,1628605959,1628606031,1628681730,0,0,256,0
2970096,0,,post,COMPLETED,99681,edgardga,260,redraider,nocona,/lustre/scratch/edgardga/BUMP_SMO/POST/script_r,/lustre/scratch/edgardga/BUMP_SMO/POST/./,true,,{cpu-24-5},1,32,32,0,,,3072,1478,2880,0,1628627260,0,0,1628627260,1628627560,1628678749,0,0,0,0
2970079,0,,HyPHY,TIMEOUT,100218,chtong,350,redraider,nocona,/lustre/work/chtong/1Ant_genomics/8HyPHY_BUSTED/2Ant_102_foreground_sp10/1/busted.sh,/lustre/work/chtong/1Ant_genomics/8HyPHY_BUSTED/2Ant_102_foreground_sp10/1,true,,"{cpu-23-22,cpu-23-47,cpu-23-48,cpu-23-49,cpu-23-50,cpu-23-51,cpu-24-19,cpu-24-20,cpu-24-21,cpu-24-22}",10,200,200,0,,,4027,1159,2880,0,1628626460,0,0,1628626460,1628626530,1628799339,0,0,15,0
2970533,0,,HyPHY,FAILED,100218,chtong,350,redraider,nocona,/lustre/work/chtong/1Ant_genomics/7HyPHY/2RELAX_ant_103/18/relax.sh,/lustre/work/chtong/1Ant_genomics/7HyPHY/2RELAX_ant_103/18,true,cpu-25-33,{cpu-25-33},1,38,38,0,,,4027,108470,12000,0,1628635720,0,0,1628635720,1628635723,1628679385,0,0,256,0
2970093,0,,post,COMPLETED,99681,edgardga,260,redraider,nocona,/lustre/scratch/edgardga/BUMP_SMO/POST/script_r,/lustre/scratch/edgardga/BUMP_SMO/POST/./,true,,{cpu-25-60},1,32,32,0,,,3072,1478,2880,0,1628626679,0,0,1628626679,1628626861,1628675943,0,0,0,0
2968885,0,,First_UiO_p,CANCELLED,100144,mhajianz,310,redraider,nocona,/home/mhajianz/UiO-66/111/2layers/4Nacona/submit.sh,/home/mhajianz/UiO-66/111/2layers/4Nacona,true,cpu-23-33,{cpu-23-33},1,128,128,0,,,4027,2179,2880,0,1628612181,0,0,1628612181,1628612182,1628692266,0,0,15,15
2969501,0,,TBL250m,COMPLETED,99362,jessmcdo,340,redraider,nocona,/home/jessmcdo/testnocona/full_build_r19.1/run/CM1_quanah.bash,/home/jessmcdo/testnocona/full_build_r19.1/run/./,true,,"{cpu-24-51,cpu-24-53,cpu-25-52,cpu-26-1,cpu-26-17}",5,640,640,0,,,4027,2657,2880,0,1628618897,0,0,1628618897,1628621678,1628658659,0,0,0,0
2969875,0,,post,COMPLETED,99681,edgardga,260,redraider,nocona,/lustre/scratch/edgardga/BUMP_LON/POST/script_r,/lustre/scratch/edgardga/BUMP_LON/POST/./,true,,{cpu-23-24},1,32,32,0,,,3072,1478,2880,0,1628624912,0,0,1628624912,1628625395,1628671631,0,0,0,0
