feature_name,abkenyon,adegbalo,aderezen,akitazum,andhingr,aosmansk,bdankesr,bjayee,brandoni,daray,ddocimo,dpimbi,edgardga,emilwrig,erivasqu,esowell,fazhussa,fmolajaf,hdeselle,hge,ipandey,iscottfl,jagkaur,janfisch,jenjense,jieyao,jjerke,jkorstia,johruska,juandomi,junxzhan,kafroz,lediaz,ludacost,mahmadia,mclewis,mdmia,nayshah,nramanat,nwijaya,qinyuan,qiu25856,rafiisla,rirising,rmanser,shahrahm,shwong,sojkwon,stalukde,svaca,tobollin,twixtrom,wan39502,war94577,wkastor,xu95646,zha98475
CPU1 Temp,15520.509676475103,16219.289786170251,29284.243384441856,18399.7421725606,17864.295969356765,9637.361249905,42877.71151222455,13861.64283438049,10543.457841976524,22317.83858794194,14653.22091650683,10538.646129417612,27266.86599926712,41344.260926011004,10340.548015576707,16046.2448353402,16798.613465127313,16025.663281263658,10173.335981350196,9687.051713597772,36976.443055424934,15875.808534594324,11948.176560133488,34208.007757295534,20372.267431018918,11162.8848613301,11951.963151128908,13542.792648672774,23309.49016739309,27666.91765043412,24138.697862376503,31889.135099856132,20827.46551688905,23002.128565575542,9306.586269037947,8764.34469448129,12459.694535640696,6853.171473880518,32267.009074741607,8086.873327052729,29420.623463826556,21818.5594685932,11426.194588804643,46630.46882915784,13707.85394338801,19888.1466617309,10060.063026038471,15966.448547272168,10250.597789054986,9392.721092586296,17135.833045904466,7982.767237349972,12445.798158366279,52428.48999832962,20641.41831850992,30120.365158920133,10813.79690011373
CPU2 Temp,17177.63331170919,22629.437034508333,9898.660958880178,22696.556374048174,35838.26813038478,23793.335758577072,11503.9095590906,9002.117064167027,23284.73370817331,19129.823458573,9807.51094173116,28378.809345761518,15749.446619220384,12689.737461694831,22898.76440503885,26983.72547479296,14044.68362316751,17328.086260547465,22401.333572643714,15024.004012489146,14187.344681550881,21484.93969925861,13874.65322955097,18895.35785498164,11189.763415953075,19645.448110446872,11490.284865501617,2861.4967219014125,11889.579115663835,31754.890927143453,5722.947627365057,15419.144891990669,7574.976924583028,19977.261067527423,24650.392849932017,12844.146041228454,22822.36012721497,18062.079826368892,7397.330748143702,13894.740679281362,9739.759182441394,8447.801298756078,26905.524226936792,15174.594551414568,10915.883084505602,6170.450405615121,22667.143604300472,5395.10932953912,21395.291162149668,25088.063305296222,6817.57808092389,22275.62809782684,13463.595852151975,14460.066161591643,17641.964507551318,15871.88057613616,22610.23517518274
Memory usage,15047.85712269468,10929.06880319587,18837.062758996046,14559.161240561285,9917.905933230171,10450.344709479035,21527.41874793742,22805.970955900262,10622.851902402934,17535.948944044518,32776.161986853294,21596.659825027316,10901.194606967569,21211.727802509376,10143.87717762713,12512.469366156443,24814.289382556293,20632.63922632613,10764.750769938957,20541.878376638437,17749.390701801814,19795.16988870821,24051.20848836563,22382.978558562325,14314.292529505276,19527.6467196097,21395.265040818744,27821.869674138183,23151.611330397474,16605.964112347956,17957.231502806946,16969.236829279555,23207.994195163188,4997.125734012496,10602.724229971778,15700.274246549787,23173.770911752214,17543.67112501958,22668.780575486337,21376.089921581774,11742.066402110702,10668.255883310178,10376.92388805646,19413.486160078002,43989.710633779076,31811.078021582885,11509.731953613113,28392.907720381143,19757.839796120526,10768.841884020409,11817.719826012924,19899.987131121004,22576.103311869974,22785.88780917756,11425.526712231218,12467.946145496773,25540.76615854289
Fan1 speed,31196.738560403315,15378.718882043462,18841.954842544765,20924.17998463456,17252.124152125034,14238.083843355611,5767.09700406069,15886.944270391992,13747.955046868272,19173.380624737627,15134.942205315334,15448.473296477096,15294.968889546315,14301.954888746148,14114.55861355332,7835.8145313589175,11114.770334286555,4068.6178314052254,13952.956733954656,10131.958209948327,8530.974408260132,41695.97994815593,13138.94145079209,29078.130885850933,7625.797472122207,3271.274463834566,27075.81003990708,7032.5385143114145,5629.7292424133175,12267.83593156282,11195.722946014306,13441.773087395866,11842.828181703026,18443.3048483885,13910.736294631784,8737.77331515544,5343.750279981543,4203.660786533983,18016.639306967594,4754.79572174348,7648.14184797912,6356.229180362052,10436.651738684968,9303.91369472794,6324.687320226259,4601.128090993917,13485.864100834811,14603.04491312819,5482.581905534103,13766.91063308202,14722.362773303159,7737.936415352539,7165.470691210258,9900.38240693154,8054.140948843224,19791.34164719288,8499.137688356534
Power consumption,25971.522842707796,51115.67134531753,26512.189232507182,22358.16366829085,16658.618308835335,10871.631437572572,26809.61396680336,39513.377108290566,11347.71298786845,29019.940809272357,26609.7746151701,14011.723964906952,33068.28465390115,20159.881142009628,11489.544385591204,59976.380594962364,34284.42725701603,49909.39848803313,11815.904823724983,40600.621101367964,18374.546019625952,16692.842330887157,50018.26693100871,18763.398925299687,61340.521345416055,41195.994110122614,21083.803636342524,28584.284839667856,53574.637297824665,15463.756032527755,54681.58590597438,13620.147923476135,44254.72440724564,32848.954781397435,10710.467479950348,26089.19978681089,12238.289572458398,51960.80700217809,31698.462400999317,37070.70715908107,59191.64465683076,68100.01164653579,52360.30976107825,20793.159240015004,39141.21091893768,28143.696532808917,11419.435949257075,39032.74351765306,45294.02068865836,10291.026777918552,37581.93935395184,36659.20906343071,33361.037391790305,29669.894256757296,18572.254860610705,14170.782337668616,42759.741492008885
