feature_name,abkenyon,adegbalo,akitazum,bdankesr,bjayee,ddocimo,emilwrig,esowell,fazhussa,fmolajaf,hge,ipandey,iscottfl,jagkaur,janfisch,jenjense,jieyao,jjerke,johruska,juandomi,junxzhan,kafroz,lediaz,ludacost,mdmia,nayshah,nwijaya,qinyuan,qiu25856,rafiisla,rirising,rmanser,shahrahm,stalukde,twixtrom,wan39502,war94577,zha98475
CPU1 Temp,76600.06474146224,19008.418792667355,27231.04539552244,50099.35976075432,40478.804249572786,50276.556129338474,85874.70049692622,25308.141586071582,17673.56267896268,25691.860483800734,15404.113137073418,56254.20420211427,19391.95740463295,23871.905208262222,62660.01530734173,71370.47739280657,42890.66931426838,66221.45398459486,64264.15736286355,96254.22417752504,31917.439656181137,40988.792538322414,38859.48365759471,57054.52674044706,37012.45907328731,27257.820168607534,14682.563682456033,94098.65110840587,89045.1938357984,33980.708354887516,88047.42004344346,33429.41795070345,56811.978166723704,30981.734686851978,24532.413256653712,57682.75488846732,81700.64498040847,27369.387684923182
CPU2 Temp,46493.213001176126,30848.666537098532,66699.36131816867,28308.50255342563,31733.609710464916,45326.68659793688,33948.154355993836,38061.92338811806,40753.92979285548,12450.252027991672,25703.004391907903,21153.049953074034,49601.430429673346,36662.03776345471,21097.075410492682,35692.542397926154,30441.99765527107,24836.67009137335,77943.05197880421,84379.8642530565,10604.864302830356,27301.634553529868,18157.994238069543,85133.46519457063,39581.11965358933,30153.06836011917,10507.925516895892,58282.51968162924,28046.380720686102,26770.68849277353,37978.675749249225,22510.268616026402,33611.887801396115,63848.213802619226,42372.16460780036,32856.14065262748,23124.743428870068,25606.594669338683
Inlet Temp,12992.616623506567,11511.988147055703,29808.051919202866,40064.130013181515,12146.238707230372,39749.43748662247,19314.32356653593,15274.266961422134,19247.759128466743,20655.679206438414,16192.901746153946,25447.84908395137,44430.35477037748,24295.44427520269,16545.908268678482,11926.378670984874,20803.017182223764,28231.34354071528,15786.111551433904,13038.841867907264,27618.55504372979,35629.020412167716,18100.05882467287,24999.55798437766,15840.383452745391,14500.828833600544,12065.106543718392,13004.05235956984,9228.388702354112,18553.0419627049,32398.358284443908,9674.291264221125,22690.33489543985,19610.686797113023,24163.590029487972,27532.686524216108,33106.575816623415,34083.60393260442
Memory usage,60629.859900622956,36151.27318552055,60793.552697749394,53297.10056916958,43649.25789706522,58265.1894374308,72424.42494521814,58541.49556831335,64569.59551323222,33255.59445436728,37066.23141668076,38582.12473699548,52168.40662503382,37509.07218186784,40388.771038179984,68331.52089892954,36140.17964167965,45382.27539828804,47629.37265389178,54968.219303775244,64837.95558694799,36936.07065594861,64520.60527967843,57355.62868830965,35177.66271253038,45087.99814274268,53918.925064293166,50007.837332621486,38860.45425917989,45109.12273504891,66405.74090803112,49827.47047062166,56909.104301492735,61349.8312476343,65993.64728282986,56966.86884902787,66228.65103857397,78885.21430851161
Fan1 speed,36194.56963179533,13628.379667260242,72185.54190597161,31046.65879068497,18769.064347293403,13154.589007743009,22787.77107888192,9814.56327624423,13666.645415777852,6684.677114389727,10815.201428517315,12746.52851931688,61022.697957872566,11452.870587372217,35034.581442249604,15859.110883635769,6802.914227267429,12102.436515856843,13701.057710688987,3931.729697879738,18771.123523962804,8690.672962151262,11295.764587477495,31961.417763066518,11239.188099260333,7532.603472395182,14216.094493382328,11179.060398946374,7389.628095471172,11856.6378995008,28869.030896144614,17597.60636449702,19898.48039191294,21150.9691191923,11191.150903020967,8367.737008714177,16743.142190360973,13255.175383549567
Fan2 speed,9875.358608711023,11778.659372153921,25559.145374769098,45781.019234588,13143.123667988608,29150.42041085088,37714.30098252732,7539.491935229063,12532.145077505413,12570.411268765825,12365.431599437969,15175.246840020827,57416.68961999536,13795.753266547588,52176.50564659247,7586.997278786036,14263.690206682259,11506.560895620552,9925.026219186304,8856.531758087069,11024.651796007776,10147.921382243418,13411.58355944363,19311.970372450458,10398.77017089508,10791.671740925107,17108.56221784397,7994.733012454315,9500.746769244848,22587.75974777121,28301.658071165737,7771.023344993282,10701.836090543775,18472.294855927645,16913.457747209846,8014.191813537161,13987.06983549701,17080.896427111682
Fan3 speed,26618.855272814977,10666.4015484045,27884.96415643338,26766.12319087986,12765.08665725677,15082.115196769812,21106.864279192978,15073.290683421634,8973.848966866295,6916.548088350519,10563.136535510625,22420.17335705713,40952.78049828673,12724.8523017486,54532.72236945745,22645.666769706168,6616.257857979815,21533.031883939173,8722.494254931658,15444.288870401992,14717.631944505918,27336.797811164502,10864.227374201995,70510.48045587013,14892.851141544286,6963.053631880111,32312.550710366628,7985.824725180159,19725.7740974704,13639.896264981024,22499.115674623383,7338.065688630232,6748.647793813011,20080.504401666698,12408.112269455278,7057.618033780181,18286.7666323618,14058.013177286382
Fan4 speed,41135.12604734953,7837.796168961469,48787.37831587762,17246.626924403874,11851.569410681732,16430.046906170654,46698.580027819815,14467.11246309728,9023.51221644475,10422.234703599128,12270.232472196318,11700.797972757517,37245.162902257005,17078.884996116994,25157.904177218174,13444.812616402749,12258.230682452222,22702.020440523,11639.276928522671,21575.2208710048,20438.142511927363,23052.57138473442,11220.33045030914,15302.919026113655,7582.770044045052,10372.235156637887,9631.979247320225,11883.108065040271,13746.480788073855,8843.411549688311,25964.351488050626,12346.669117041685,18439.978804841117,17478.426500674235,16533.803985218186,10442.006431937525,13451.83848567256,10274.7680650728
Power consumption,80827.73261402558,165824.38802261066,24650.29387054463,35231.77122895288,47331.5109742425,95122.15839039435,96244.00402835663,198296.36150052497,79864.30281533515,116262.75473618828,105789.11300427918,69207.37753245744,36605.27577604501,113533.67556774447,28396.35089789632,144696.99817322538,61303.44200938086,52375.38874127481,183626.97141016656,45791.70804053103,156611.82987920358,32731.19003438369,100834.88131904231,68634.91016484116,29422.541690967235,89731.8572146633,72396.73055323011,155273.68620049418,159194.07033182424,148636.05311955346,87816.62877322346,60263.97925656541,66366.57383832718,135635.4530103918,61960.398692104325,90273.82053481147,40769.703478331845,60510.26638715205
