feature_name,abkenyon,adegbalo,akitazum,bdankesr,bjayee,ddocimo,emilwrig,esowell,fazhussa,fmolajaf,hge,ipandey,iscottfl,jagkaur,janfisch,jenjense,jieyao,jjerke,johruska,juandomi,junxzhan,kafroz,lediaz,ludacost,mdmia,nayshah,nwijaya,qinyuan,qiu25856,rafiisla,rirising,rmanser,shahrahm,stalukde,twixtrom,wan39502,war94577,zha98475
CPU1 Temp,61630.823175410886,25735.049977673727,19474.242689001792,38300.23508017986,39029.741705808214,56223.98641778007,37232.11358209498,28466.826010804503,22943.051888916143,22034.148192227505,21186.845974882115,60392.032357303244,46910.94208123298,16888.678108727963,102210.8566616776,40025.671179105164,33035.28088547549,49653.317607896766,34332.431538286764,113046.8901643698,29507.715330930358,36098.53577448831,45209.200687474426,88810.74909597693,28289.08880589266,17337.757418133908,17861.42014084534,42005.769871785385,49399.15699615164,31942.212136739814,23044.19325604052,23052.886185721523,62527.09361960963,31378.034271484372,27340.339322333653,76275.21164563531,87462.06563567148,25121.908333970387
CPU2 Temp,36823.96183078783,40955.036416251736,61602.330853792424,32156.466062961747,33501.14419916589,44104.664214823766,57417.1065036495,37077.48356071167,36165.27522367163,9800.611725364992,23396.933825067244,25332.731798943558,63796.78206359028,38920.35423057478,26115.13219719031,40926.31609208149,33530.27614290851,26571.48535272912,53956.108649562615,109879.97215618328,20804.109271522226,30159.35779417555,15567.200610663502,36491.30221952814,38066.644054844495,34074.075118218214,15789.36187532802,54449.83623808043,22039.453319487606,30980.396731115037,55949.038936632205,20268.556940942944,56078.58366997314,48658.213007152975,38662.40323953671,47500.02311337296,24712.95144015229,40379.39986888224
Inlet Temp,14793.489424519435,10179.084612356357,34502.425319548885,61947.69603533832,8652.970191063534,20755.517456274243,36518.17407539535,12728.16520142304,21043.71251198988,13233.282156812915,16053.977297314625,30013.54337313145,64537.90848832599,21340.641676708103,20474.127163206933,8490.579545018167,17834.474031725054,34274.50119704956,7638.98196035726,23166.502052656368,37566.726835840505,35092.21090351048,23271.89954766612,36784.51880863543,17391.06184170949,11291.550128505989,16539.804145063765,18231.61643459711,7567.4278260291685,27484.015031013827,31477.223275323693,5492.558498130687,29940.604971442142,17703.97551397246,22868.993116837035,42006.67668854664,54137.902161763835,26837.875107841002
Memory usage,66933.66131091025,32580.17617558572,57931.19565963365,55702.30492142796,35111.905163160176,68028.64956618415,119350.4252797575,77218.24294430052,61229.93339812949,37158.485105928085,29996.014424616817,45453.87897072267,78451.91059338486,39775.8967476461,67435.19944610925,66898.70696817787,34072.86115666428,40892.21424459135,48325.780874564676,75615.82743581357,66318.86335881452,38229.96080117322,96950.26813452203,56518.43578082099,29973.95261469667,48290.06662128039,110107.09524359346,46252.06943956039,47733.57157720492,43265.87553614912,106604.20060882,47270.497613425156,76030.92425360762,57758.23301177741,67317.98972738117,103969.2950446276,85137.50766454388,70096.66633362128
Fan1 speed,29794.690492823374,11788.83827917608,67011.4417140838,39304.059287534044,16095.90217794918,19997.68039357208,32031.055158151717,9789.381468171054,11428.17053568907,10037.677968995216,7892.27391017397,19031.224064235008,37929.33137795362,16928.7052971423,25021.63468895085,19801.560200823653,5531.723839072831,12714.279481222158,12895.518570930095,7140.3637063595015,17859.51454818561,9577.524093810758,8585.773677273988,43624.04787362597,7195.002077744749,5002.601194509879,18708.48129951999,10771.34596489605,8006.650231793847,10099.013720705354,58206.64047709917,15329.589394620554,16655.612041771034,21676.6338437658,10660.826027138137,8861.487195699176,10884.81418681775,14229.037429493364
Fan2 speed,24452.07961631369,13551.250772233303,25200.66037451965,22165.991555475142,12088.281830933252,26343.05959383852,34342.396086638924,7595.029383497701,8422.65698827027,12700.005084633309,10957.812451568052,9404.475821073727,46947.73414536193,7740.687610431902,22901.185997953944,7430.194983271101,8212.034608924729,11751.4751916086,13326.022858799704,12427.918714686492,13264.556163607287,19706.006656354588,9904.26838982996,15228.207646446954,11414.55262888112,10120.97246327088,24256.62924780663,12292.3020602113,7473.644735721707,23856.911733725297,14246.296280525168,5401.890391540984,10169.698113038428,17457.817098638996,12111.933745903838,11376.04449036316,10327.91875324249,16194.244881115186
Fan3 speed,36597.16381737917,7337.532777014035,21369.45565550529,15528.91272551059,10078.208419490376,16178.033108844382,22753.634087146547,9337.589919089929,9292.181354619543,5571.584158876263,8054.101932803134,20453.734915320958,34761.1128900472,12996.204874797457,32335.474566863453,14947.774045170463,6441.946521653573,28879.91996533165,10394.900187461006,12982.23395784536,9670.993260008023,26033.382357463197,10350.505941837831,29782.49600085567,7212.22051259763,5923.2281244716505,22389.874740084517,8989.423404866013,12311.415966656765,14673.099322889302,20345.241909605727,8687.539588096864,11274.825586663777,9167.431814958816,8639.247487317582,24340.31232148789,20466.82818805693,9976.674506803074
Fan4 speed,33361.71090225853,5574.486435735545,24849.468146123458,22196.33634645618,9877.294703480198,14480.403930049282,42980.94030232538,9459.372398704136,8231.914814880272,5138.841106448997,6820.095378048731,11646.65834640953,23732.34542559524,8085.354992459275,19134.435127605004,7323.412342195935,10321.49145087001,27600.099378391144,7763.179163351429,39028.863642663935,20017.711894736432,29881.172520358334,10152.045528851708,26932.442020959457,12021.470218016042,6062.2943973289175,16727.287424150167,6398.02336111955,8955.501228338564,9409.625785562908,16398.206837847374,8155.861101621823,15495.252257960425,21933.291119797832,14800.652456187046,20550.135400513976,15820.547514044092,6586.7160393238855
Power consumption,52391.33733641455,108381.61964359788,23796.410644711763,34418.95312748643,37114.81732674372,72620.5707760642,81221.05146363987,163570.29860726828,47236.48355229572,111020.13853638426,68551.46795680818,58090.047421562245,28397.05326520127,95158.2675191152,23387.89069699828,121650.18720355297,63219.573198103135,44460.569141937674,129527.21822728627,57664.716942179766,132924.59610894418,32843.938440848586,63744.125132324276,26786.466715403883,31521.074643464715,86013.95045092874,117999.66575000045,122557.85179197256,154764.47258467163,130618.59604759865,113288.99764267035,56171.30959519403,70330.33619151301,125802.50054597436,49075.8920746184,141936.15095481634,34151.33959773061,59238.45427155602
