feature_name,abkenyon,adegbalo,aderezen,akitazum,andhingr,aosmansk,bdankesr,bjayee,brandoni,daray,ddocimo,dpimbi,edgardga,emilwrig,erivasqu,esowell,fazhussa,fmolajaf,hdeselle,hge,ipandey,iscottfl,jagkaur,janfisch,jenjense,jieyao,jjerke,jkorstia,johruska,juandomi,junxzhan,kafroz,lediaz,ludacost,mahmadia,mclewis,mdmia,nayshah,nramanat,nwijaya,qinyuan,qiu25856,rafiisla,rirising,rmanser,shahrahm,shwong,sojkwon,stalukde,svaca,tobollin,twixtrom,wan39502,war94577,wkastor,xu95646,zha98475
CPU1 Temp,69204.28791591572,19940.665138134642,147384.47401836255,34190.18696974052,43109.13567511468,50096.509088791165,83333.39823426607,30325.466747976763,44011.81458423368,73680.35398557928,72236.34080232505,54445.044553694635,88204.5466991599,88934.30587092752,38732.08781709255,6831.488403430512,30132.956830853844,20783.012157118235,59029.26782189824,22887.842611871278,78105.46774206866,58522.35517510841,26209.904352922003,62531.811179756136,45930.19418166325,23128.564228959327,35449.821793040035,16398.7195916749,7894.567820932359,140499.95607008706,45605.18924912172,95823.31887427432,25139.190376984625,91514.58643584416,44064.36032657342,52367.319714081386,14212.605591302909,14314.171523252928,96951.3789375857,20852.220942611973,74704.17344620706,41224.39528577985,22486.52999860402,101002.65017189414,36734.02014440873,69429.41245625763,46270.26867695387,29489.78145127525,15202.172368131618,54137.419279891415,48440.907126914375,20143.842597532323,41560.20471797301,130857.01194647008,43872.86441813429,110732.43483688304,28362.478425308534
CPU2 Temp,55120.95745903393,21794.944337435703,37797.0933764038,69399.80505072678,124503.14864705283,77843.36947747516,40069.38601810809,28546.92458175911,93627.50390753007,53325.73589822208,42289.19423594679,89691.46100660764,74120.09310580196,36280.94510634315,82789.77447305071,58586.288085482,16418.110931962172,11237.571718306208,83612.85553785227,14330.709537625886,30151.761237824867,54357.57661283979,26666.143188307622,47422.15784515384,7893.936247098918,38328.661235787215,17421.722296996995,33574.03452945216,32514.90984341121,154365.6396997006,22177.812834354518,39906.45142496941,22870.892594596284,55557.465734831436,77391.0759886299,36860.35640564713,36387.459723254906,33859.598408752936,24893.113533836357,45632.02855828955,22199.655738511534,11095.251641441788,52047.73046921466,33553.48330151612,17105.869218720974,37025.10954177454,78250.70562582812,36277.636712928834,32520.931767448485,75219.83391950546,42036.91809690605,57139.476666573435,81065.06283215019,55195.55187889963,53901.97064846414,64475.832368303476,45853.83326688891
Memory usage,106672.63191879602,30146.19103839834,37225.7907872092,53734.16695358948,43363.90949739779,89658.0429343836,76540.89741516243,40089.43882881188,109167.07108650537,125755.96765291839,91124.3237373395,85943.09228243234,64460.048392967474,105676.42275940461,95574.68435068156,71285.97054192839,25109.36733454627,34940.170818561164,110228.58754687505,35181.02030740882,42329.67885480129,107849.03739153981,36173.499044232034,76191.08928683486,52049.30861029704,45966.01580084774,34317.94748336677,121523.3336753354,57979.54286935183,91282.85593321768,78520.451014515,52021.3416940576,54431.440846584475,57009.83872843596,88896.41064615687,73831.54117210537,39833.169464949926,50926.909466892634,77264.83299938492,128316.61395049721,62877.363501913926,84006.61421427189,40238.281296913265,78330.7299010616,36884.90718328226,72891.8232361833,106194.49588340193,124195.43793495915,49047.340545306346,91381.36291335722,93424.5118644131,29117.859523109,107010.02168453028,68702.26107104827,38928.20875673965,55704.463503252155,91030.79263234387
Fan1 speed,115542.18851730715,18180.96301714,86461.65859375053,68770.3824362826,82589.8428878773,67771.03266972392,30169.319876930917,21660.688771270132,56550.63392971171,92627.53255761393,70293.64205727997,76825.4157904954,78229.26848243234,82601.59081605196,64362.47407976432,16499.805077976318,21602.20250310499,15886.786064102902,63458.43866870129,13827.401712836132,38391.41471648996,162375.13797862973,22741.464697712323,79919.26533848018,34136.28786528862,6639.314634948935,57256.35047584303,59412.12918266277,26478.69319020414,43060.13093445303,37679.297580932966,42839.249328239835,13779.898602305213,117883.37966114262,66825.13056390171,54537.347687590634,16463.71125959714,9508.346801199665,83733.3432533092,27979.73622690188,41259.92677956103,44834.12659531161,27725.354740635565,54980.143584531776,15209.515977608833,31090.19628953567,56166.70893082884,54655.45113952695,35923.219320608376,66644.70709187211,82025.65168186056,22617.614563322906,20202.153046706317,41640.21148584549,65532.313028808065,96349.40023415099,25571.29775266187
Power consumption,66610.63294099312,56809.862344661036,72883.65463063102,35032.42014133077,52427.283005383135,26876.522599040687,37491.09429710977,65583.15120411172,34515.37522169175,98955.94306374324,79735.85762612168,61635.813343595,99573.67013124113,84466.92239334743,38306.744335012074,212411.5944147476,63568.985725158826,58534.252901021966,27217.739282534512,35057.88885190113,27995.01526178352,42983.48803370047,68592.78552507405,37280.66453671544,217480.4026526448,85597.53760386957,42256.78892327977,114393.61770756188,138936.75840910012,79956.31517461147,189232.36900004122,40750.70410310529,57170.717254378425,75611.34608231236,34885.28508142244,110461.9981012626,20768.47486531885,99745.41669217453,106479.28381941943,158487.92484475856,169766.51718965234,185229.66040719268,86671.97818458482,91058.08561266707,46292.95626406073,97710.24693808726,36790.51734882477,138793.5567367804,126912.22380912314,42519.202493606936,92783.09578115307,29555.714085342843,134096.3431401877,35214.92094579653,62183.88024709613,36491.342875867966,85604.68285581605
