feature_name,abkenyon,adegbalo,akitazum,bdankesr,bjayee,ddocimo,emilwrig,esowell,fazhussa,fmolajaf,hge,ipandey,iscottfl,jagkaur,janfisch,jenjense,jieyao,jjerke,johruska,juandomi,junxzhan,kafroz,lediaz,ludacost,mdmia,nayshah,nwijaya,qinyuan,qiu25856,rafiisla,rirising,rmanser,shahrahm,stalukde,twixtrom,wan39502,war94577,zha98475
CPU1 Temp,37344.50269162807,33384.704117243346,25361.600223629648,56121.718973390554,38807.90894933038,57212.981186397825,118154.68161030574,29801.133913719237,19089.68475316242,26494.798468777597,18536.09498376016,49464.51899045175,19084.083820279648,26227.662127982523,58902.42900960622,39891.929933147614,37890.79058288062,75740.77854684532,42767.794640364984,103741.31033999812,31290.546078450065,41230.8114854347,38465.108318847255,73605.050252069,35376.210004443405,21731.44060858089,19836.35851377388,102382.23319260584,42278.296158702535,34088.80894949132,83658.33521533704,34970.659492826344,53192.177844995975,37810.86400480658,27159.727553852583,65794.07317334782,86898.18836273083,25636.621679060856
CPU2 Temp,64660.01238933584,35889.136201909416,80248.54625596643,29106.53060398176,30432.386338950142,50215.233604696434,32004.857982350997,28437.421018305737,32790.64627706356,17409.878676171313,28697.90684065513,33769.385860081835,39928.95210944792,48457.77028664131,26300.986447680898,22300.18752733572,29665.53254414038,32813.019113069284,85127.73533056109,89735.25171495252,13976.456129938544,31207.153571086117,26051.084693854747,65820.17110476362,35741.069006666345,30696.05139217537,14632.07243151331,43742.70834232996,39746.20294410299,31199.578530143222,31740.128691890757,29353.448257297227,36329.039300707205,46005.397255753356,41696.98180285863,30241.525587078544,28944.248785725635,26525.550405027643
Memory usage,74906.85659001839,35954.43153395205,59210.97971476584,59307.15027827445,43369.55844449503,64180.854550731434,78472.35322467235,52210.6573224779,62335.81778792244,36776.313369389856,39104.36424448328,39641.414210545736,68561.64569977303,32860.71224959823,42953.83160331276,58778.47839342918,37079.62862437715,46496.996731185056,59072.01903891443,64312.964183021344,54647.42838238226,44399.37624954716,72459.67202122329,49105.92893699124,38363.01541888752,48044.124018729606,62025.52470053718,50546.93847738735,40143.28075907619,46997.74186885616,76855.94209157584,51009.26738678119,60819.25264141657,43261.66892831565,61859.469696620574,59086.86366717213,67155.0139452749,70336.68875927133
Fan1 speed,91323.17476206303,34173.606410549684,118748.53685970337,59106.861315706105,32785.981503999676,36150.039017660965,81370.72587538062,20088.83640186646,31883.989604845465,18922.169690252664,26725.89729818608,30134.46430589127,140035.47795661757,37751.7760816016,71371.87090724919,36467.4311471215,21023.23429907742,36658.48407918328,31044.62689413785,30902.14131215332,35166.1431861281,42872.94821984952,20636.836620472124,59977.00026079986,25113.04790371561,17741.98845442685,24858.92837666326,24369.931235189266,30285.200734161517,23614.263297633617,49393.322400797966,27285.55867831244,32485.68256631245,26544.06021901893,37277.188174806746,31327.519658475005,28958.712777660097,25633.81830880373
Power consumption,76113.58569268465,189236.09373858492,29417.65163707206,35048.44834518078,48386.80040924528,101050.40421212863,130263.2714897958,256261.62863160414,65336.63686172066,121831.26735222318,93461.67316340696,38863.98882922245,38290.02362584246,88468.73982530672,40077.98310743431,145097.4746652635,55947.671302558876,49868.929483969325,139659.77717378127,56497.05506673418,140587.81551766454,32668.68177862438,81526.8917313345,72496.46138232305,29534.491830524017,86965.05076137431,85243.80621901559,139859.44262546406,171030.0990894773,170400.67091593234,99346.2770908268,61827.327546494074,66924.96905214865,125376.48168276387,53373.28920523631,105841.15981036238,35763.38866157087,69809.7971075109
