feature_name,abkenyon,adegbalo,akitazum,bdankesr,bjayee,daray,ddocimo,edgardga,emilwrig,erivasqu,esowell,fazhussa,fmolajaf,hge,ipandey,jagkaur,janfisch,jenjense,jkorstia,johruska,juandomi,kafroz,lediaz,mdmia,nayshah,nramanat,nwijaya,qinyuan,qiu25856,rafiisla,rmanser,shahrahm,stalukde,svaca,tobollin,twixtrom,wan39502,war94577
CPU1 Temp,359.1792076132395,4406.777994053918,1159.7370362300353,6905.980573961664,1316.4827307816506,987.8199473716327,909.8215810051747,3036.4623444819185,3992.4550901353255,1444.9351408949988,5976.779992532905,1359.8848160048026,2328.7089106653852,7391.9109312877235,3020.3517300651342,4034.177893373057,2358.533136634285,4358.276753380133,460.7725206641671,4788.5388522946005,3934.195109099131,6203.584834107882,2578.792890220093,2104.4267326811346,3041.165582368287,1108.5012200915412,1989.2482630425272,2941.757112772056,978.097758065284,1816.5284084209175,3096.2877092028166,3399.549130471894,1926.2744316322367,1230.0779395999907,627.083205945332,2163.180370599283,2503.026589131073,5415.787940726894
CPU2 Temp,796.8222882830719,2742.675259713281,669.366462112533,2347.885997001837,398.9238793250891,682.2200938765646,554.9652540410939,1206.706047241568,1786.310065319627,2042.5551681279626,5633.944715975128,3943.8157958434117,3954.104572044908,2389.2719898356445,2922.1569975151947,3136.075667140869,464.3525982102401,2409.598670618236,305.3912595424743,2728.7638777401885,6656.425888622641,2104.7666778022767,1887.0562011114512,1891.6880209575686,2770.4578240026253,2060.837726990091,1212.4020083583737,2920.1088923307375,959.9131930233071,4414.668244280797,3743.693910913316,2283.86867442762,5368.136511361114,2286.168629280206,948.584420582912,2017.913125631977,2469.881516852587,1797.6442549247975
Inlet Temp,764.1154566471009,376.8389149076274,76.7703274072985,1437.2697344005164,770.7166465832561,508.2682706733474,1069.9576493444551,646.4820123465572,1388.9297119963267,110.98165214241831,892.189954440019,1546.5394658304888,1470.8924367730724,1631.5009161891476,1026.874880801765,1384.1278170731632,406.3002087992273,432.48693897948897,443.41280370372857,425.9323995115564,348.37591236220965,1118.0277930142204,724.8658175652095,437.3450208935376,920.8413893887648,98.3288764129026,1110.4553296914132,538.206504752037,464.1619946830799,1046.895966397618,1676.4593202872134,984.7156150118843,924.3067515292261,102.08627593919907,775.3537407105374,1290.2431657929226,374.9193502598528,578.0553684160675
Memory usage,2409.389431913305,4212.410546589062,1943.9528206524444,2865.542024243065,1540.2045980082974,1972.3062430991895,3844.4068667940746,1026.1826065995097,3603.676522717029,2371.115282086447,3210.1645581789007,7126.037082807603,6922.406968674087,3478.132823905453,3662.3110427561214,1957.1577422815055,1510.9936369015586,2534.131216919188,4938.209439162222,8573.442011336414,1755.0553689271396,3405.0369313410242,3816.261029955784,3716.413336732315,5128.616900590158,2397.964406787237,5627.847280847578,2657.50527347665,2084.609097073468,3325.858625623219,5134.574801255255,4769.764480102478,3674.5990148960523,2248.8332766885237,2844.6557340593336,974.7173776583353,4063.302840294051,3386.7055973081765
Fan1 speed,481.67869795968664,1400.5923007021033,189.9801543339296,965.6813154759168,303.8536404389958,1003.3025436097977,1936.6045323302071,1410.0545828169613,925.0016301706737,511.6781947990005,597.7285945242763,652.4802619982613,469.94712297572477,1457.5867837774756,948.4171125616356,914.3003492225205,578.6979912064812,1255.285357102018,816.1069402037292,477.14144177849687,441.5956806776057,929.9528385923863,539.4242917947378,1375.2568556637161,643.0186152577929,815.4593054683963,522.2135566440926,733.2893062941168,787.9042845671935,861.5539370029898,1078.8556262728316,770.4107758957305,805.3220095457363,585.8859021520424,432.5217025960977,507.06419911105974,506.05254998560224,635.7667541972278
Fan2 speed,863.9694167343813,529.4028009033443,207.8328646099918,2007.6862673931162,905.7795782781565,838.4245414842566,2163.0161951509244,1533.702814425279,1433.5994854779306,438.30151809287776,451.072236299299,803.211146848675,664.7947243342825,1104.1096652341314,2261.175804519968,655.5415130157796,1513.7090237791012,676.4369138184477,783.3348740082167,378.30449969001745,733.7472794398442,1306.7410287074715,251.31778860730327,748.8143196573134,894.1187326332391,397.94632398230567,771.2662593731218,471.1888589526428,849.1616048486462,680.4310924625178,505.3937722456236,824.6496803040621,730.3142944651307,406.95290837681296,713.2128804871334,566.5043107734133,704.8952226362297,353.3184600349094
Fan3 speed,661.900224224904,813.2490124373343,83.7205396334735,967.4988298755037,1024.249209241546,231.34635236719865,390.2045392586791,1510.2117332540731,2004.0993372972232,1124.004508013579,334.7469002515376,619.6649035371983,1223.9798729817862,782.1148263825984,1809.1126555386538,885.3444603328514,1064.3212820509898,715.3038358724783,899.7392561207699,364.1288673287627,787.524863505632,1307.534805865616,616.5336248321431,497.7826200108185,517.8773176885601,1137.6742447481474,609.6896645000597,362.7898100118865,239.4270879179984,832.4638901010019,554.4459513735861,996.970643882592,1152.7114917116467,1278.3780682229296,447.4850665778405,1062.6634389124677,579.3981984939467,931.5630818133992
Fan4 speed,194.1378059004348,885.5730157005495,64.34701536894806,1183.104718463376,1277.8492720311424,862.782948457335,329.9153502972221,2008.7204775493185,1714.9388446887076,399.7979983940508,234.737510506288,459.8766084985344,349.9428395753687,966.9193229063496,645.884751153788,464.7448654187282,1194.7199307848905,561.2689349207212,357.6255317948671,421.5773645006452,651.8485562924092,1261.3300505718905,228.00419671228008,1328.8860552777735,426.7708689791953,525.236868575234,676.8706961875782,499.6712320263917,796.9096633392477,933.3002378453174,698.1726533563515,453.7462359350094,300.96838228540463,510.6567858219712,215.98719258757268,642.2921064695479,578.1400906731683,169.6157523898291
Power consumption,1114.4463065904517,9318.786070936085,1535.168156903992,6802.689359997004,2604.1483139214424,3225.974641456691,2644.291220223525,5307.3252234091215,2772.177203449611,2231.1399798222574,18059.67216980143,9350.568368297283,7166.646617130812,5240.11082590058,4681.049161322145,8503.393628403895,2759.702644670166,8110.063440508078,5919.376982865858,9075.008366325104,2643.9745647520763,6484.807574663591,4882.045418050975,2081.6219951138737,13895.330979236576,2300.871150074984,7897.158866671534,5141.179869011304,3262.1191322881514,3708.718945767377,11162.85839098957,4238.378900156356,10317.313871581666,2160.365930020364,1168.7662510657665,1102.8454610358951,5831.566961988995,1892.1292520135091
